Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params,feature importance,Outliers
Train,Pedestrian Total,Not Scaled,KNN,0.5,1393019.113697117,749.4014895880833,0.9702867239230888,KNN,"{'p': 1, 'n_neighbors': 15, 'leaf_size': 50}",Not Available,Not Removed
Test,Pedestrian Total,Not Scaled,KNN,0.5,586882.7068460252,568.0488524091808,0.9541146780573353,KNN,"{'p': 1, 'n_neighbors': 15, 'leaf_size': 50}",Not Available,Not Removed
Validation Data,Pedestrian Total,Not Scaled,KNN,0.5,53744110.23539168,6011.352671232877,-2.0522185996152307,KNN,NA,NA,Not Removed
Train,Pedestrian Total,Not Scaled,Pandas,0.5,1507793.471898655,783.6308937528499,0.9678385721653275,KNN,"{'p': 1, 'n_neighbors': 20, 'leaf_size': 40}",Not Available,Not Removed
Test,Pedestrian Total,Not Scaled,Pandas,0.5,2384215.3360718763,1198.1610180118557,0.813590540324101,KNN,"{'p': 1, 'n_neighbors': 20, 'leaf_size': 40}",Not Available,Not Removed
Validation Data,Pedestrian Total,Not Scaled,Pandas,0.5,53717751.68965412,6009.464748858448,-2.050721653378581,KNN,NA,NA,Not Removed
Train,Pedestrian Total,Not Scaled,KNN,0.3,1093204.8684053565,653.4730510314874,0.9730618061529107,KNN,"{'p': 1, 'n_neighbors': 15, 'leaf_size': 30}",Not Available,Not Removed
Test,Pedestrian Total,Not Scaled,KNN,0.3,447308.95726781496,480.42955927051673,0.9630587606427524,KNN,"{'p': 1, 'n_neighbors': 15, 'leaf_size': 30}",Not Available,Not Removed
Validation Data,Pedestrian Total,Not Scaled,KNN,0.3,54467109.23614966,6071.87408675799,-2.0932789313976623,KNN,NA,NA,Not Removed
Train,Pedestrian Total,Not Scaled,Pandas,0.3,1087292.4495822475,671.3602850162868,0.9732074969460686,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 50}",Not Available,Not Removed
Test,Pedestrian Total,Not Scaled,Pandas,0.3,1415438.417893237,849.5778685410335,0.883105293240234,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 50}",Not Available,Not Removed
Validation Data,Pedestrian Total,Not Scaled,Pandas,0.3,53831129.77786187,6017.674189497717,-2.05716058609327,KNN,NA,NA,Not Removed
Train,Pedestrian Total,Not Scaled,KNN,0.1,650672.1069048072,491.91670150104505,0.9817928403218175,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 40}",Not Available,Not Removed
Test,Pedestrian Total,Not Scaled,KNN,0.1,420913.563920228,458.8641595441595,0.9654745669266162,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 40}",Not Available,Not Removed
Validation Data,Pedestrian Total,Not Scaled,KNN,0.1,54689458.34636986,6089.456872146117,-2.10590651211022,KNN,NA,NA,Not Removed
Train,Pedestrian Total,Not Scaled,Pandas,0.1,1022439.0579390714,661.1879029704224,0.9713900273400983,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 30}",Not Available,Not Removed
Test,Pedestrian Total,Not Scaled,Pandas,0.1,1345587.1435669516,822.491282051282,0.8896282209655019,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 30}",Not Available,Not Removed
Validation Data,Pedestrian Total,Not Scaled,Pandas,0.1,53831129.77786187,6017.674189497717,-2.05716058609327,KNN,NA,NA,Not Removed
Train,Pedestrian Total,Standard,KNN,0.5,3389045.159944014,1114.2945280437757,0.9277112327574054,KNN,"{'p': 2, 'n_neighbors': 30, 'leaf_size': 40}",Not Available,Not Removed
Test,Pedestrian Total,Standard,KNN,0.5,7577067.690700081,2112.278640370877,0.40758828584746043,KNN,"{'p': 2, 'n_neighbors': 30, 'leaf_size': 40}",Not Available,Not Removed
Validation Data,Pedestrian Total,Standard,KNN,0.5,7107892.385260655,2007.5776598173518,0.5963308119283086,KNN,NA,NA,Not Removed
Train,Pedestrian Total,Standard,Pandas,0.5,2771912.755762369,1016.3545314637482,0.9408747459649092,KNN,"{'p': 2, 'n_neighbors': 20, 'leaf_size': 20}",Not Available,Not Removed
Test,Pedestrian Total,Standard,Pandas,0.5,16161603.118805004,3397.9785624715,-0.26359211741180655,KNN,"{'p': 2, 'n_neighbors': 20, 'leaf_size': 20}",Not Available,Not Removed
Validation Data,Pedestrian Total,Standard,Pandas,0.5,7700938.032935789,2198.6647203196344,0.5626507500884734,KNN,NA,NA,Not Removed
