Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params
Train,Pedestrian Total,NA,KNN,0.5,3.22E-15,2.18E-09,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Test,Pedestrian Total,NA,KNN,0.5,1.62E-14,5.52E-09,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Pedestrian Total,NA,Pandas,0.5,7.41E-18,1.87E-09,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Pedestrian Total,NA,KNN,0.3,2.15E-15,1.54E-09,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Test,Pedestrian Total,NA,KNN,0.3,2.51E-14,7.34E-09,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Pedestrian Total,NA,Pandas,0.3,2.35E-12,7.44E-08,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Pedestrian Total,NA,KNN,0.1,3.60E-16,1.67E-09,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Test,Pedestrian Total,NA,KNN,0.1,2.04E-18,1.15E-09,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Pedestrian Total,NA,Pandas,0.1,6.20E-16,2.76E-09,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Test,Pedestrian Total,NA,Pandas,0.1,7.40E-18,2.19E-09,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Cycle Total,NA,KNN,0.3,7.53E-19,4.24E-10,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Test,Cycle Total,NA,KNN,0.3,4.60E-19,3.42E-10,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Cycle Total,NA,Pandas,0.3,6.15E-19,4.70E-10,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Test,Cycle Total,NA,Pandas,0.3,1.61E-19,2.80E-10,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Cycle Total,NA,KNN,0.1,7.51E-19,3.84E-10,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Test,Cycle Total,NA,KNN,0.1,1.01E-18,3.81E-10,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Cycle Total,NA,Pandas,0.1,4.34E-19,3.88E-10,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Test,Cycle Total,NA,Pandas,0.1,8.11E-20,2.06E-10,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Pedestrian Total,NA,KNN,0.5,2.28E-10,2.28E-07,1,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}"
Train,Pedestrian Total,NA,Pandas,0.5,9.12E-10,4.56E-07,1,RandomForest,"{'n_estimators': 500, 'max_features': 'log2', 'max_depth': 100, 'bootstrap': False}"
Train,Pedestrian Total,NA,Pandas,0.3,0,0,1,RandomForest,"{'n_estimators': 10, 'max_features': 'log2', 'max_depth': 100, 'bootstrap': False}"
Train,Pedestrian Total,Standard,KNN,0.5,2.28E-10,2.28E-07,1,RandomForest,"{'n_estimators': 1000, 'max_features': 'log2', 'max_depth': 100, 'bootstrap': False}"
Train,Cycle Total,NA,Pandas,0.3,0,0,1,RandomForest,"{'n_estimators': 100, 'max_features': 'log2', 'max_depth': 100, 'bootstrap': False}"
Train,Cycle Total,NA,Pandas,0.1,0,0,1,RandomForest,"{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}"
Test,Pedestrian Total,NA,Pandas,0.3,2.37E-08,7.99E-06,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Cycle Total,NA,KNN,0.5,5.99E-11,1.16E-06,1,Ridge,"{'normalize': False, 'alpha': 1}"
Train,Pedestrian Total,Standard,Pandas,0.3,2.25E-07,6.84E-06,1,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}"
Test,Cycle Total,Standard,Pandas,0.1,1.08E-10,7.53E-06,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Pedestrian Total,Standard,Pandas,0.5,5.99E-07,0.00059361,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Test,Pedestrian Total,Standard,KNN,0.1,1.74E-07,0.000322072,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Test,Cycle Total,Standard,Pandas,0.3,2.20E-10,1.04E-05,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Pedestrian Total,Standard,KNN,0.1,6.30E-07,0.000394828,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Cycle Total,Standard,Pandas,0.1,5.78E-10,1.42E-05,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Cycle Total,Standard,Pandas,0.3,7.96E-10,1.73E-05,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Cycle Total,NA,KNN,0.3,8.14E-10,4.89E-07,1,RandomForest,"{'n_estimators': 1000, 'max_features': 'log2', 'max_depth': 100, 'bootstrap': False}"
Train,Cycle Total,Standard,KNN,0.1,7.47E-10,1.31E-05,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Cycle Total,Standard,KNN,0.3,1.04E-09,1.60E-05,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Test,Cycle Total,Standard,KNN,0.3,6.31E-10,1.29E-05,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Pedestrian Total,Standard,KNN,0.3,3.27E-06,0.000481072,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Test,Cycle Total,Standard,KNN,0.1,9.18E-10,1.21E-05,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Pedestrian Total,Standard,KNN,0.5,4.67E-06,0.000626573,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Cycle Total,NA,Pandas,0.5,1.03E-08,4.56E-06,1,RandomForest,"{'n_estimators': 1000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}"
Train,Cycle Total,Standard,Pandas,0.5,1.25E-08,3.65E-06,1,RandomForest,"{'n_estimators': 1000, 'max_features': 'log2', 'max_depth': 100, 'bootstrap': False}"
Train,Cycle Total,Standard,Pandas,0.5,1.55E-08,2.86E-05,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Test,Cycle Total,NA,KNN,0.5,7.77E-09,1.42E-05,1,Ridge,"{'normalize': False, 'alpha': 1}"
Train,Pedestrian Total,Standard,Pandas,0.3,3.05E-05,0.00061209,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Test,Pedestrian Total,Standard,Pandas,0.1,1.72E-05,0.003208357,1,Ridge,"{'normalize': False, 'alpha': 0.01}"
Test,Pedestrian Total,Standard,KNN,0.5,2.07E-05,0.000583148,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Cycle Total,Standard,KNN,0.5,7.39E-08,4.19E-05,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Pedestrian Total,Standard,Pandas,0.1,8.79E-05,0.004098983,1,Ridge,"{'normalize': False, 'alpha': 0.01}"
Test,Pedestrian Total,Standard,KNN,0.3,3.42E-05,0.000590205,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Cycle Total,Standard,Pandas,0.3,9.38E-08,9.34E-06,1,RandomForest,"{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}"
Train,Cycle Total,NA,KNN,0.5,2.59E-07,1.74E-05,1,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}"
Test,Cycle Total,Standard,Pandas,0.5,5.01E-07,0.000201789,1,Ridge,"{'normalize': False, 'alpha': 0.001}"
Test,Cycle Total,Standard,KNN,0.5,9.56E-06,0.000499071,0.999999999,Ridge,"{'normalize': False, 'alpha': 0.001}"
Test,Pedestrian Total,NA,Pandas,0.5,0.011608794,0.004321424,0.999999999,Ridge,"{'normalize': False, 'alpha': 0.001}"
Test,Pedestrian Total,Standard,Pandas,0.5,0.220193983,0.019255564,0.999999983,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Pedestrian Total,Standard,Pandas,0.5,0.961032918,0.570193289,0.99999998,RandomForest,"{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}"
Train,Pedestrian Total,NA,KNN,0.3,0.944011886,0.614181899,0.999999977,RandomForest,"{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}"
Test,Pedestrian Total,Standard,Pandas,0.3,0.302937985,0.028817852,0.999999975,Ridge,"{'normalize': False, 'alpha': 0.001}"
Train,Pedestrian Total,Standard,Pandas,0.1,1.157420373,0.688624047,0.999999968,RandomForest,"{'n_estimators': 500, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': False}"
Train,Pedestrian Total,Standard,KNN,0.3,2.737510179,0.949496408,0.999999933,RandomForest,"{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}"
Train,Cycle Total,Standard,KNN,0.5,0.035641523,0.112867747,0.999999055,RandomForest,"{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}"
Train,Cycle Total,Standard,KNN,0.1,0.051024673,0.13453736,0.999998214,RandomForest,"{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}"
Train,Cycle Total,NA,Pandas,0.5,0.081619246,0.189446244,0.999997837,Ridge,"{'normalize': True, 'alpha': 0.001}"
Train,Cycle Total,Standard,KNN,0.3,0.075267392,0.155731578,0.999997677,RandomForest,"{'n_estimators': 50, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': False}"
Train,Cycle Total,Standard,Pandas,0.1,0.067516346,0.150283299,0.999997637,RandomForest,"{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}"
Test,Cycle Total,NA,Pandas,0.5,0.062586447,0.183680995,0.999995888,Ridge,"{'normalize': True, 'alpha': 0.001}"
Train,Cycle Total,NA,KNN,0.1,0.123782588,0.19992768,0.999995668,RandomForest,"{'n_estimators': 100, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': False}"
Train,Pedestrian Total,NA,KNN,0.1,2864.171211,28.31531446,0.999919855,KNN,"{'p': 2, 'n_neighbors': 2, 'leaf_size': 40}"
Train,Pedestrian Total,NA,Pandas,0.1,2874.86185,28.33995187,0.999919555,KNN,"{'p': 2, 'n_neighbors': 2, 'leaf_size': 50}"
Train,Pedestrian Total,NA,KNN,0.3,3594.961177,31.98245114,0.999911415,KNN,"{'p': 2, 'n_neighbors': 2, 'leaf_size': 40}"
Train,Pedestrian Total,NA,Pandas,0.3,3599.069157,31.99002443,0.999911314,KNN,"{'p': 2, 'n_neighbors': 2, 'leaf_size': 20}"
Train,Pedestrian Total,NA,KNN,0.1,5280.931639,28.40231934,0.999852229,RandomForest,"{'n_estimators': 100, 'max_features': 'log2', 'max_depth': 100, 'bootstrap': True}"
Train,Pedestrian Total,NA,KNN,0.5,7004.919077,43.13098495,0.999850584,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 20}"
Train,Pedestrian Total,NA,Pandas,0.5,7005.603997,43.13648948,0.99985057,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 30}"
Test,Pedestrian Total,Standard,Pandas,0.1,1854.974219,26.06675043,0.999847846,RandomForest,"{'n_estimators': 500, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': False}"
Test,Pedestrian Total,NA,KNN,0.1,2221.713675,33.61880342,0.999817764,KNN,"{'p': 2, 'n_neighbors': 2, 'leaf_size': 40}"
Test,Pedestrian Total,NA,Pandas,0.1,2222.498575,33.63532764,0.9998177,KNN,"{'p': 2, 'n_neighbors': 2, 'leaf_size': 50}"
Test,Pedestrian Total,NA,Pandas,0.5,3215.688308,39.52078041,0.999748582,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 30}"
Test,Pedestrian Total,NA,KNN,0.5,3217.995366,39.52732721,0.999748402,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 20}"
Test,Pedestrian Total,NA,KNN,0.1,3071.790904,37.04774359,0.999748036,RandomForest,"{'n_estimators': 100, 'max_features': 'log2', 'max_depth': 100, 'bootstrap': True}"
Test,Pedestrian Total,NA,KNN,0.3,3101.598357,39.73831687,0.999743853,KNN,"{'p': 2, 'n_neighbors': 2, 'leaf_size': 40}"
Test,Pedestrian Total,NA,Pandas,0.3,3101.948281,39.73071809,0.999743824,KNN,"{'p': 2, 'n_neighbors': 2, 'leaf_size': 20}"
Test,Pedestrian Total,Standard,Pandas,0.3,3698.669243,39.10287006,0.999694544,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}"
