Month,German Calves,German Cattle,German Steer,German Bulls and stags,German Cows,German Heifers,German Hogs,German Sheep and lambs
2003-01-01,62.56,584.24,280.31,215.92,194.65,109.07,1663.5,72.67
2003-02-01,57.23,504.75,254.07,191.05,159.03,91.54,1422.06,73.19
2003-03-01,64.06,536.69,274.16,207.94,167.35,95.06,1467.95,72.51
2003-04-01,66.61,543.63,281.28,203.15,163.69,98.56,1449.47,97.68
2003-05-01,65.67,524.93,274.7,211.38,159.93,90.1,1453.67,69.07
2003-06-01,61.96,493.15,266.87,209.31,142.73,83.64,1418.22,70.92
2003-07-01,62.79,543.27,295.42,225.31,157.95,89.9,1450.46,83.74
2003-08-01,58.85,513.39,281.78,212.75,150.69,80.82,1300.11,76.34
2003-09-01,68.13,594.5,328.74,247.13,172.05,93.51,1483.05,75.28
2003-10-01,67.18,627.64,328.47,239.65,192.61,106.26,1588.4,81.0
2003-11-01,59.11,572.47,291.25,222.47,179.99,100.88,1488.97,70.98
2003-12-01,70.05,557.97,285.41,229.5,172.32,100.14,1601.42,102.93
2004-01-01,63.02,613.94,274.33,214.01,188.03,101.93,1909.33,74.25
2004-02-01,59.64,558.6,257.6,196.12,157.73,90.36,1712.79,73.49
2004-03-01,70.78,647.42,304.87,233.13,183.24,98.58,1870.4,78.17
2004-04-01,63.39,587.55,282.65,210.21,158.91,93.99,1718.66,96.82
2004-05-01,64.14,546.0,272.94,214.64,136.86,84.85,1647.19,72.09
2004-06-01,66.12,571.57,283.41,231.66,159.54,84.04,1727.09,75.48
2004-07-01,61.52,570.97,295.87,232.46,144.89,84.36,1656.02,83.35
2004-08-01,64.84,590.78,303.24,233.36,156.9,85.71,1669.25,84.8
2004-09-01,68.39,632.64,318.38,239.77,169.38,90.32,1731.91,78.05
2004-10-01,66.46,646.42,316.05,230.38,175.5,98.55,1762.75,84.25
2004-11-01,69.1,670.44,319.85,246.4,191.11,108.71,1868.95,77.22
2004-12-01,243.4,752.63,310.14,242.56,188.25,111.3,2541.52,179.7
2005-01-01,62.69,550.11,279.92,228.84,174.58,93.76,1812.59,81.9
2005-02-01,61.23,550.03,295.36,228.94,163.69,91.35,1689.01,71.64
2005-03-01,70.58,595.88,305.06,236.44,191.31,98.3,1789.2,90.81
2005-04-01,64.78,583.09,303.86,230.87,174.85,102.95,1756.91,86.13
2005-05-01,70.84,564.52,304.73,242.43,164.03,95.58,1750.67,75.91
2005-06-01,65.72,558.18,301.34,243.66,166.18,90.19,1721.99,75.03
2005-07-01,61.62,538.66,295.55,233.59,156.18,86.08,1619.13,81.31
2005-08-01,70.66,606.61,333.65,266.23,181.03,93.22,1751.47,88.35
2005-09-01,73.25,623.07,338.73,259.25,187.95,97.73,1752.91,77.97
2005-10-01,72.71,635.08,345.4,266.94,185.28,103.23,1806.81,84.92
2005-11-01,73.26,664.56,337.33,262.01,214.66,111.91,1890.19,77.58
2005-12-01,229.63,689.65,318.31,223.75,173.15,100.98,2439.68,174.3
2006-01-01,67.26,607.0,299.84,233.38,199.07,107.84,1894.22,81.86
2006-02-01,65.82,557.13,278.53,218.06,181.25,97.19,1710.23,69.65
2006-03-01,79.45,655.06,325.65,255.36,215.09,113.12,1909.31,82.36
2006-04-01,74.5,559.63,283.66,214.93,173.1,102.64,1682.09,128.32
2006-05-01,80.21,605.9,311.11,244.32,188.9,105.64,1907.21,83.84
2006-06-01,74.27,575.32,302.49,243.7,179.48,93.2,1787.83,76.15
2006-07-01,71.57,550.57,292.82,227.45,167.38,90.23,1690.29,78.47
2006-08-01,76.37,606.33,322.85,259.69,191.01,92.27,1764.92,84.23
2006-09-01,78.98,616.69,329.5,256.35,189.97,96.91,1765.1,83.0
2006-10-01,86.18,669.04,346.25,263.82,213.28,109.17,1917.14,87.99
2006-11-01,77.43,664.26,331.38,259.06,221.91,110.71,1948.61,77.57
2006-12-01,96.4,595.83,298.02,242.79,194.63,103.03,2108.44,109.68
2007-01-01,69.58,579.56,0.0,218.9,187.47,105.23,1721.07,75.24
