iter	RMSE
0	8.798662821
1	8.712718272
2	8.626974656
3	8.568865293
4	8.497282709
5	8.425495456
6	8.356764456
7	8.299427898
8	8.252529204
9	8.194857133
10	8.136872606
11	8.086553525
12	8.031816804
13	7.981916515
14	7.943706238
15	7.895861048
16	7.847683621
17	7.804417359
18	7.764616142
19	7.728726836
20	7.69018338
21	7.651728049
22	7.629227529
23	7.593809284
24	7.560570337
25	7.538216687
26	7.512265567
27	7.48624504
28	7.460459925
29	7.442237249
30	7.418457823
31	7.396362686
32	7.378307844
33	7.364789271
34	7.343948848
35	7.326688011
36	7.309157887
37	7.293109262
38	7.276273828
39	7.273698633
40	7.255505856
41	7.23804365
42	7.225147006
43	7.211616311
44	7.196767799
45	7.184073328
46	7.171537718
47	7.159895846
48	7.155245865
49	7.144770739
