iter	Passed	Remaining
0	11	11695
1	12	6138
2	12	4267
3	13	3347
4	14	2801
5	14	2419
6	15	2144
7	15	1942
8	16	1784
9	16	1662
10	17	1552
11	17	1459
12	18	1382
13	18	1320
14	19	1267
15	19	1217
16	20	1166
17	20	1125
18	21	1101
19	21	1072
20	22	1052
21	23	1029
22	23	1005
23	24	986
24	24	965
25	25	947
26	25	932
27	26	916
28	26	903
29	27	886
30	27	872
31	28	858
32	28	846
33	29	833
34	29	822
35	30	809
36	30	799
37	31	790
38	31	781
39	32	772
40	32	764
41	33	757
42	33	750
43	34	744
44	34	738
45	35	731
46	36	730
47	36	724
48	37	721
49	37	717
50	38	715
51	39	711
52	39	707
53	40	701
54	40	696
55	40	690
56	41	685
57	41	680
58	42	675
59	42	670
60	43	666
61	43	662
62	44	657
63	44	652
64	45	648
65	45	644
66	46	640
67	46	636
68	46	633
69	47	629
70	47	625
71	48	621
72	48	617
73	49	614
74	49	610
75	49	607
76	50	604
77	50	601
78	51	599
79	51	597
80	52	594
81	53	594
82	53	592
83	54	591
84	54	589
85	55	587
86	55	585
87	56	583
88	56	581
89	57	578
90	57	575
91	58	572
92	58	570
93	58	568
94	59	565
95	59	563
96	60	561
97	60	558
98	61	556
99	61	555
100	62	553
101	62	551
102	63	549
103	63	547
104	63	545
105	64	543
106	64	541
107	65	540
108	65	539
109	66	538
110	67	536
111	67	535
112	67	533
113	68	533
114	69	531
115	69	529
116	69	528
117	70	526
118	70	524
119	71	523
120	71	521
121	72	519
122	72	518
123	73	516
124	73	514
125	73	512
126	74	511
127	74	509
128	75	508
129	75	506
130	76	504
131	76	503
132	76	501
133	77	500
134	77	499
135	78	498
136	78	496
137	79	495
138	79	494
139	80	493
140	80	491
141	81	490
142	81	489
143	82	487
144	82	486
145	83	488
146	84	487
147	84	486
148	84	485
149	85	483
150	85	482
151	86	481
152	86	480
153	87	479
154	87	477
155	88	476
156	88	475
157	89	474
158	89	474
159	90	472
160	90	471
161	90	470
162	91	469
163	91	468
164	92	466
165	92	465
166	93	464
167	93	463
168	94	463
169	94	462
170	95	461
171	95	460
172	96	460
173	96	459
174	97	460
175	98	459
176	98	458
177	99	457
178	99	456
179	100	455
180	100	454
181	101	453
182	101	453
183	101	452
184	102	451
185	103	450
186	103	449
187	104	449
188	104	448
189	104	447
190	105	445
191	105	444
192	106	444
193	106	442
194	107	441
195	107	440
196	107	439
197	108	438
198	108	437
199	109	436
200	109	435
201	110	435
202	110	434
203	111	433
204	111	433
205	112	432
206	112	432
207	113	431
208	113	430
209	114	429
210	114	429
211	115	428
212	115	427
213	116	426
214	116	425
215	117	424
216	117	423
217	117	422
218	118	422
219	118	421
220	119	420
221	119	419
222	120	418
223	120	417
224	120	416
225	121	415
226	121	414
227	122	413
228	122	412
229	123	411
230	123	410
231	123	409
232	124	409
233	124	408
234	125	407
235	125	406
236	126	407
237	127	407
238	127	406
239	128	405
240	128	405
241	129	404
242	129	404
243	130	403
244	130	402
245	131	402
246	131	401
247	132	401
248	132	400
249	133	400
250	133	399
251	134	399
252	135	398
253	135	398
254	136	397
255	136	396
256	137	396
257	137	395
258	138	395
259	138	394
260	139	394
261	139	393
262	140	393
263	140	392
264	141	392
265	141	391
266	142	391
267	143	390
268	143	390
269	144	389
270	144	388
271	144	388
272	145	387
273	145	386
274	146	385
275	146	385
276	147	384
277	147	383
278	148	382
279	148	382
280	149	381
281	149	380
282	149	379
283	150	378
284	150	377
285	151	377
286	151	376
287	151	375
288	152	374
289	152	374
290	153	373
291	153	372
292	154	371
293	154	371
294	155	370
295	155	370
296	156	370
297	156	369
298	157	369
299	158	369
300	158	368
301	159	367
302	159	367
303	160	366
304	160	365
305	160	365
306	161	364
307	162	364
308	162	363
309	163	363
310	163	363
311	164	362
312	165	362
313	166	362
314	166	362
315	167	361
316	167	361
317	184	396
318	185	396
319	186	397
320	187	397
321	188	396
