Link,Date,Title,Text
https://www.irishexaminer.com/farming/arid-10111724.html,2002-07-11 02:00:00,Farm leaders condemn CAP reforms as Greens say changes are vital,"However, the Irish Cattle Sheep Farmers Association welcomed the CAP proposals. General secretary Eddie Punch said the Fischler reforms “represent the policy of the future and that the challenge facing Ireland is to embrace the change and seek to proactively influence the detail in the best interests of Irish farmers”.
Macra na Feirme, the voice of young Irish farmers condemned the CAP plan as a landlord’s charter.
Speaking from Brussels where Agriculture Commissioner, Franz Fischler, announced the much-leaked document yesterday afternoon, Macra’s national president Seamus Phelan said the proposals to decouple direct payments from production would make it very difficult for new people to get into agriculture in the years ahead.
New entrants will not have the single payment entitlements that will in future attach to the land instead of production and will be forced to pay high prices to farmers who want to get out of agriculture.
The real winners from the new system would ultimately be non-farming landowners, he said.
With only 11% of farmers under 35 and 45% over 55 introducing further barriers to entry would be disastrous for the long-term sustainability of farming, he concluded.
ICMSA president Pat O’Rourke warned “the cuts in direct payments of up to 20% will further and substantially reduce incomes of the cattle and beef sector”.
“In particular, the proposal to introduce stringent restrictions on exports in the beef sector is a major concern and one that Ireland will have to completely oppose,” said Mr O’Rourke. “And the introduction of farm audits will replace one lot of red tape with another,” he said.
He added: “The fact that the commission has made no proposals to change the milk sector does not remove the need for the commission to introduce increased levels of support in the milk sector in the aftermath of the US Farm Bill.”
Tom Parlon, Minister of State for Agriculture dismissed the proposals saying the CAP review was a “major departure from the Agenda 2000 policy which was negotiated only a couple of years ago. It is essential Irish farmers do not lose out as a result of this review”, he said.
Meanwhile the country’s biggest farm body, the IFA, lashed out at the moves by the EU to rewrite Agenda 2000.
President John Dillon said: “The deep cuts proposed are a breach of faith with farmers by the European Commission. He dismissed claims by the commissioner that the reforms would be good for Irish farmers.
Initial assessment of the strategy suggests a loss of 300m annually of EU transfers to Ireland and to Irish farmers which cannot be regarded as positive in an true meaning of the word, said Mr Dillon.
Green MEP Patricia McKenna welcomed the general direction taken by the European Commission in the CAP mid-term review published today.
She called on farmers, to welcome the changes outlined as an absolute
necessity to put a halt to the severe environmental impacts of intensive farming and address consumer concerns
regarding food safety and animal welfare.
“The commission’s position paper is a timely and welcome step in the right direction and it should be followed up as soon as possible with concrete proposals,” she said.
Ms McKenna also called on the EU to ban subsidies on live exports."
https://www.irishexaminer.com/farming/arid-10095944.html,2002-07-11 02:00:00,"EU Commission positive, but beef prospects mixed","In its just published seven year trade outlook, the European Commission takes heart from a predicted return to ""more normal"" levels of beef production.
And it's expected emergence of world markets from prolonged downturn would lift all boats, including those of agri-exporters.
In general, the Brussels report on Prospects for Agricultural Markets: 2002-2009, is broadly positive for most agricultural products.
In particular, a continued increase in consumption and a ""sustained recovery in EU cereal exports"" are projected.
In beef, the industry could not be blamed for expecting greater benefits from measures like the ""Purchase for Destruction"" scheme and the ""Special Purchase"" scheme, which together withdrew and destroyed the meat of around 1.1 million animals.
In addition, culling linked to the Foot and Mouth disease (FMD) in the UK, the Netherlands, France and Ireland took out about 850,000 cattle, mostly in the UK.
As a result, and with an unexpectedly smaller backlog of animals, beef production for the year 2001 dropped to 7.26 million tonnes, down 1.8% from the already relatively low production level of 2000.
However, the dramatic drop in beef consumption by about 12%, compared to 1999 put strong pressure on beef prices, which dropped below intervention level and even below the safety net (for a short period and only in Germany and the Netherlands).
Intervention stocks grew rapidly, and reached around 259,000 tonnes.
Signs of recovery appeared since March 2001, with beef prices continuing to improve, reaching about 90% of intervention level by the end of the year (except for cow meat, where prices remained low throughout 2001).
Net beef production in the EU is estimated to increase in the year 2002 and 2003, as it returns to more normal conditions, with improved prices and no destruction schemes in place except for the Over Thirty Months Scheme (OTMS) in the UK, which is assumed to be maintained until Spring, 2004.
There is some impact from the special measures decided in June 2001, notably a stocking density reduction and temporary changes in the suckler cow premium for 2002 and 2003.
But EU beef and veal production is estimated to increase up to 7.7 million tons in 2004 and then decrease slightly in the following years, as the beef production cycle reaches its low point by the year 2005/06, at around 7.6 million tons.
Producers are then expected to respond to market improvements, lifting production slightly to reach 7.75 million tons by 2009.
Overall, the lower production in 2001; the assumed prolongation of the OTMS scheme in UK; the quick recovery in beef consumption; and the impact of the special measures taken in 2000 and 2001, indicate that the balance of the EU beef market is likely not to worsen in the next few years.
Intervention stocks could be cleared in 2003, and no buying in is expected by Brussels over the forecast period up to 2009. Export outlets are expected to be sufficient to cope with cyclical ups and downs in production.
The one major new feature in the farming decade ahead to be taken into account by the European Commission is the US Farm Bill.
The main conclusion in Brussels is that the Bill's increased level of US support will generate higher agricultural production in the US, and this should put further downward pressure on market prices.
The greatest impact would be felt in the cereal sector where the Farm Bill is expected to increase the competitiveness of US products, as well as boosting their grain production levels.
Oilseed production may decrease somewhat, releasing some pressure from market prices.
For the EU, the largest kickback from increased farmer subsidisation in the US is expected in the wheat sector, and in coarse grains and meat production to a lesser extent.
So there could be a US sourced impact on Irish cattle farmers.
At least, Irish farmers can count their blessings that they are not growing rice or rye. Preferential trade agreements, notably the ""Everything But Arms"" (EBA) Agreement with the Least Developed Countries (LDCs) is projected to have a ""dramatic"" effect on the EU rice market.
And the rye market is foreseen ""to display a continuous and structural imbalance"", largely due to its relatively high market prices and lack of market outlets."
https://www.irishexaminer.com/farming/arid-10089619.html,2002-07-11 02:00:00,As big as foot and mouth,"Question 1: Do you want a change to area- based direct payments?
Question 2: Do you want milk quotas scrapped?
These are the questions that matter to farmers, and if they were on the ballot there would be a record turnout in rural areas. Instead, we have limited influence over such matters.
They must be negotiated jointly by the agriculture ministers of the 15 member states in the upcoming CAP mid-term review, or by heads of state if the ministers fail to agree.
Maybe that is why Ireland voted No to Nice last June; just for the opportunity of flexing our muscles in a 15-member club where compromise has to be the order of the day, and you can never get what you really want.
Although we have individual voting power to halt progress towards enlargement of the huge and powerful EU trading union, by voting No to Nice, we have little say in really important developments for our farming and agri-food industries, such as these review proposals which now could turn farming and food industries upside down.
But do we even know what outcome we really want?
That is one of the questions arising in the reaction to these radical proposals sprung on the EU's agriculture industry by the European Commission,
under the guise of a CAP mid-term review.
These proposals may be of little interest beyond farmers, agri-food industry leaders and politicians, but their implications are more significant than the foot and mouth epidemic which galvanised the nation last year.
At their centre is the far-reaching idea of cutting the links between farm subsidies and farm production. That would leave EU farmers still getting plenty of cash subsidies, but the money would no longer be tied to how much they produce.
For the first time in many decades, they could be guided by the demands of the market in deciding what to grow or produce. A farmer would get his average of EU direct payments received over a specified three year period for example, 1997 to 1999. The new lump sum subsidy per farm would be linked to environmental and animal welfare standards. It is proposed that any premiums received in excess of €5,000 would be cut back by one-fifth, over several years, with the savings redirected towards rural development.
The end product, it is hoped, is an agriculture policy more oriented towards consumers, and less towards very big farmers.
The EU's larger farms would get no more than 300,000 each.
The proposals are radical for drystock farmers; fewer changes are suggested for tillage or dairy farmers, although the proposals have been interpreted as very unfavourable for Irish grain growers. Across the board, they have different implications for groups of farmers, for agri-business and for food processors.
Many drystock farmers will welcome these proposals, but Agriculture Minister Joe Walsh is unlikely to go to Brussels with a mandate to accept area-based payments to farmers. Not only will the main farming organisations here instruct him to maintain the status quo, he will also be keen to save the food industry from as big a threat as it faced from foot and mouth.
Our huge beef industry would suffer a huge supply slump, if farmers were allowed take life a little easier, giving up the chase after the cattle and sheep which each bring in a few euro of extra premium, in the current CAP system, and which guarantee strong supply levels for processors.
The mountain of paperwork, which many farmers dread, would shrink if they no longer had to account to Brussels for each animal they claim a premium on. If beef prices slump, they simply cut back numbers, instead of losing money on their huge, premium-earning herds, as they are this year.
Minister Walsh is expected to oppose that scenario, principally because jobs in Ireland's food industry could be at stake. However, that consideration must be weighed against the proposals' benefits the most striking of which may be the decisive move away from 80% of subsidies going to the largest 20% of the EU's farms.
Unfortunately, 14 other member states, few of which share Ireland's concerns, will decide if these proposals are passed or shot down.
Our fate lies in their hands.
The powerful French influence in Brussels may be against the proposals because their relatively intensive agriculture stands to lose out; for them, 9.4bn of the total EU farm budget of 43.6 bn is at stake.
The Spaniards, Italians and Greeks may offer their support to the proposals because their Mediterranean products, such as wine and olive oil, are exempt from the proposed abolition of production subsidies.
The proposals are obviously designed to win over Germany, Britain and the Netherlands, which grumble that they foot the CAP bill. They will welcome the move towards market-based reform that will benefit consumers and the environment, and eventually lessen their nett payments to Brussels.
Lurking in the background is the imminent enlargement of the EU to include poorer and more rural countries in Central Europe.
If the 40 billion per year CAP spend is not cut back before the new farmer-heavy applicants join the EU, they will form an unbreakable anti-reform bloc once they are inside the Union.
Some fear the CAP budget will explode, if the EU expands from 15 member states to 25 in 2004.
That's just one of the pressures on the negotiators of this week's radical new CAP proposals. With vastly different consequences for dairy farmers and grain growers, broadly welcomed by consumers but feared by food processors, and member states split down the middle, these proposals could prove just as unpredictable as the foot and mouth virus, and at least as important for Ireland."
https://www.irishexaminer.com/farming/arid-10089619.html,2002-07-11 02:00:00,As big as foot and mouth,"Question 1: Do you want a change to area- based direct payments?
Question 2: Do you want milk quotas scrapped?
These are the questions that matter to farmers, and if they were on the ballot there would be a record turnout in rural areas. Instead, we have limited influence over such matters.
They must be negotiated jointly by the agriculture ministers of the 15 member states in the upcoming CAP mid-term review, or by heads of state if the ministers fail to agree.
Maybe that is why Ireland voted No to Nice last June; just for the opportunity of flexing our muscles in a 15-member club where compromise has to be the order of the day, and you can never get what you really want.
Although we have individual voting power to halt progress towards enlargement of the huge and powerful EU trading union, by voting No to Nice, we have little say in really important developments for our farming and agri-food industries, such as these review proposals which now could turn farming and food industries upside down.
But do we even know what outcome we really want?
That is one of the questions arising in the reaction to these radical proposals sprung on the EU's agriculture industry by the European Commission,
under the guise of a CAP mid-term review.
These proposals may be of little interest beyond farmers, agri-food industry leaders and politicians, but their implications are more significant than the foot and mouth epidemic which galvanised the nation last year.
At their centre is the far-reaching idea of cutting the links between farm subsidies and farm production. That would leave EU farmers still getting plenty of cash subsidies, but the money would no longer be tied to how much they produce.
For the first time in many decades, they could be guided by the demands of the market in deciding what to grow or produce. A farmer would get his average of EU direct payments received over a specified three year period for example, 1997 to 1999. The new lump sum subsidy per farm would be linked to environmental and animal welfare standards. It is proposed that any premiums received in excess of €5,000 would be cut back by one-fifth, over several years, with the savings redirected towards rural development.
The end product, it is hoped, is an agriculture policy more oriented towards consumers, and less towards very big farmers.
The EU's larger farms would get no more than 300,000 each.
The proposals are radical for drystock farmers; fewer changes are suggested for tillage or dairy farmers, although the proposals have been interpreted as very unfavourable for Irish grain growers. Across the board, they have different implications for groups of farmers, for agri-business and for food processors.
Many drystock farmers will welcome these proposals, but Agriculture Minister Joe Walsh is unlikely to go to Brussels with a mandate to accept area-based payments to farmers. Not only will the main farming organisations here instruct him to maintain the status quo, he will also be keen to save the food industry from as big a threat as it faced from foot and mouth.
Our huge beef industry would suffer a huge supply slump, if farmers were allowed take life a little easier, giving up the chase after the cattle and sheep which each bring in a few euro of extra premium, in the current CAP system, and which guarantee strong supply levels for processors.
The mountain of paperwork, which many farmers dread, would shrink if they no longer had to account to Brussels for each animal they claim a premium on. If beef prices slump, they simply cut back numbers, instead of losing money on their huge, premium-earning herds, as they are this year.
Minister Walsh is expected to oppose that scenario, principally because jobs in Ireland's food industry could be at stake. However, that consideration must be weighed against the proposals' benefits the most striking of which may be the decisive move away from 80% of subsidies going to the largest 20% of the EU's farms.
Unfortunately, 14 other member states, few of which share Ireland's concerns, will decide if these proposals are passed or shot down.
Our fate lies in their hands.
The powerful French influence in Brussels may be against the proposals because their relatively intensive agriculture stands to lose out; for them, 9.4bn of the total EU farm budget of 43.6 bn is at stake.
The Spaniards, Italians and Greeks may offer their support to the proposals because their Mediterranean products, such as wine and olive oil, are exempt from the proposed abolition of production subsidies.
The proposals are obviously designed to win over Germany, Britain and the Netherlands, which grumble that they foot the CAP bill. They will welcome the move towards market-based reform that will benefit consumers and the environment, and eventually lessen their nett payments to Brussels.
Lurking in the background is the imminent enlargement of the EU to include poorer and more rural countries in Central Europe.
If the 40 billion per year CAP spend is not cut back before the new farmer-heavy applicants join the EU, they will form an unbreakable anti-reform bloc once they are inside the Union.
Some fear the CAP budget will explode, if the EU expands from 15 member states to 25 in 2004.
That's just one of the pressures on the negotiators of this week's radical new CAP proposals. With vastly different consequences for dairy farmers and grain growers, broadly welcomed by consumers but feared by food processors, and member states split down the middle, these proposals could prove just as unpredictable as the foot and mouth virus, and at least as important for Ireland."
https://www.irishexaminer.com/farming/arid-10067356.html,2002-07-12 02:00:00,"CAP reform will force beef plant closures, says expert","In the past five years the number of processors has increased from 37 to 45 in this country, despite efforts by Enterprise Ireland and the industry to streamline the sector in the interest of profitability.
However, the Fischler plan is likely to shake up the industry, Brian Britton, managing director of Britton Consultants, warned yesterday.
Mr Britton is best known as financial director of the Goodman Group but he has been an independent consultant to the sector since 1991.
With the switch from direct payments to the farm-based system, Britton forecasts that the long-awaited reform will kick in rapidly if the new system is introduced in 2004.
“People move when they start to hurt,” he said.
He warned also that the changes foreshadowed by the Fischler reform plan point to a whole new era of agriculture in the EU.
Others suggest beef production is set to fall by as much as 30%, as the farm-based plan will make it unprofitable and unnecessary to produce in order to ensure the cheque in the post from Brussels.
Mr Britton said the plan suggests the first steps towards a level playing field for agriculture and we should plan now for that day, which will come about far sooner than many in the sector realize.
In his view, agriculture should be no different to any other sector of the economy, all of which have to compete head to head in whatever market they find themselves operating.
He said it was inevitable that the EU would ultimately move towards a market-driven system of agriculture and the CAP initiatives are the first step in that direction.
To survive, he said, “We will have to add value to what we produce if farmers are to continue to have a livelihood on the land.”
The full implications of the CAP reform will not become clear until the Commission files the legal documents required to implement the radical proposals in the autumn.
But it is already becoming clear that the value of some farms will be seriously undermined by the shift from the production-based priced support system. Farm values will be determined by how the payments system is decided on by the Commission.
And when farmers come to sell on their land, its value will be enhanced or undermined depending on how much income the farm has been allocated under the new CAP regime."
https://www.irishexaminer.com/farming/arid-10053152.html,2002-07-17 02:00:00,Battle for stronger beef price gets under way,"While the outcome for the week on cattle supplies still has two days kill togo to determine if the throughput at the factories has dropped, the warningshots are being fired by the producers against a continuation of the downward trend in prices.
Falling beef prices for four weeks in succession, which has knocked 40-50/head off finished cattle has been enough to cause concern by producers on the possibility of worse to come, and their message at last night's IFA-convened meeting in Co Laois was enough is enough as they demanded a base of 252 cents/kg (90p/lb) for the Autumn.
That is 11 cents/kg (4p/lb) more than the quoted rates for R grade cattle this week.
Supplies to the factories have been very strong over the past fortnight.
Week ending July 6 the kill was up 3,000 head on the corresponding week in 2001 at 28,234 head compared to 25,307 head last year. Last week's kill at 30,000 head was approximately 20% higher than the same week last year.
Any fall off in the supply this week could have more to do with farmers being more occupied with silage and hay making and the improvement in the weather reducing pressure to lighten stocking on farms, than influenced by any deliberate decision to hold back on cattle.
Trying to balance the trade for the Autumn is like juggling a poor hand in poker. There is going to be bluff called on both sides between producers and processors.
However, the outcome of the meeting at Abbeyleix, which had just got under way as we went to press last night, is important for straight talking between producers and processors on the prospects for the Autumn."
https://www.irishexaminer.com/farming/arid-10102039.html,2002-07-18 02:00:00,Producers of organic milk lose out by 10%,"Organic milkers receive a 29% price premium, but lose out because yields are 40% lower.
""For organic milk producers to have comparable incomes to those in conventional dairying, they would need a price premium of 36%,"" said Liam Connolly, at the Teagasc's organic farming open day at Johnstown Castle, in Wexford.
Mr Connolly warned against the Danish syndrome. An increase in their organic milk production in the past decade led to over-production.
As a result, organic milk producers received no price premium for their milk, and many have reverted to conventional production.
Beef is the most profitable organic system in Ireland. A Teagasc survey showed organic beef incomes in 2000 were almost 60% higher than conventional incomes. This was attributed to significantly lower costs, a 20% price premium, and a REPS top-up payment of 91 per hectare.
The survey showed little difference between organic and conventional producers of lamb.
""Irish, organic wheat and barley growers are making incomes between 20% and 80% higher than their conventional counterparts. Incomes from organic potato production are around 50% higher"", said Mr Connolly.
""As a high proportion of organic vegetables are sold locally, outlets can be easily over-supplied, leading to a rapid decline in price premia,"" he said.
Dr Noel Culleton, leader of the Teagasc organic research programme, said only farmers who operate to the highest production standards will survive in organic farming.
""In livestock farming, getting maximum production from clover, and high skills in dealing with animal health and welfare, are crucial. Organic farming is not an easy option,"" he said.
""Farmers who run good, commercial, conventional operations are the ideal candidates for successful organic farming,"" Dr Culleton said.
""Poor conventional farmers will make poor organic farmers,"" he said.
A recent Government report projected a trebling of organic food sales by 2006.
Liam Connolly said it was difficult to see more than 5% of the land area of Ireland being devoted to organic production for the foreseeable future."
https://www.irishexaminer.com/farming/arid-10066811.html,2002-08-01 01:00:00,EU played a vital role in Ireland's advance,"Such is the verdict of Mary E Daly, Associate Professor of Modern Irish History in UCD.
Outlining her arguments in her newly published, ‘The First Department: A history of the Department of Agriculture’, Daly shows how the Common Agricultural Policy (CAP) increased the value of Irish agricultural exports.
And by relieving the exchequer of most of the burden of agricultural expenditure, the CAP made it possible to introduce major improvements in health, education and social welfare in Ireland.
Among the statistics Daly uses to illustrate her case is the £20m saving by the Department of Agriculture in Ireland’s first full year in the EEC.
By 1978, the EU was picking up 70% of the bill for public spending on agriculture, freeing up exchequer spending for development of our industrial, social welfare and education policies.
No-one can say just how valuable EU membership was during the unstable economic conditions of the mid-70s, which precipitated 20 years of high unemployment, inflation, currency volatility and low economic growth in western Europe.
But it came to the rescue of farmers in a big way after cattle prices fell by one quarter from 1973 to 1974, and more than two million tonnes of Irish beef had to bought into intervention over the next 19 years."
https://www.irishexaminer.com/news/arid-10048757.html,2002-08-07 01:00:00,Producers call for action as prices tumble further,"Calls came for immediate action as prices at the factories dipped to a seasonal low of 224 cent/kg (80p/lb) for O grade cattle 28 cent/kg (10p/lb) amounting to 100/head under the target price set by producers some weeks ago.
Producers met in Co Laois last night to discuss the situation and decide what course they should pursue to restore prices, which moved closer to free-fall this week even before any build-up of autumn supplies to the factories.
While last week's prices were still being paid at some of the factories yesterday, the majority educed their quotes when they re-opened after the holiday weekend.
Supplies of cattle appeared to have tightened and some producers held back on supplies in resistance to the latest cut in price, but others accepted their fate yesterday, fearful that there may be worse to come Galtee Meats maintained their prices at last week's rates yesterday, paying 241-232 cent/kg (86p-83p/lb) for R/O grade bullocks and heifers. Kepak at Watergrasshill have reduced their
kill for the week to two days and cut their prices to 235-224 cent/kg (84p-80p/lb) for R/O grades.
Dawn Meats at Midleton were not quoting for cattle having sufficient booked in by noon yesterday to supply their requirements for the week.
Fair Oak, Clonmel, quoted 232-227 cent/kg (83p-81p/lb) for R/O grade bullocks and heifers.
There is a little more being secured by suppliers to factories in the midlands and northern areas, but the higher prices are mainly for the top quality cattle at some of the best paying plants.
The one stable sector this week is cow prices. In general 168 cent/kg (58p/lb) is available for cows with an extra 6 cent/kg (2p/lb) for carcasses over 700 lb available at some factories."
https://www.irishexaminer.com/farming/arid-10066408.html,2002-08-08 01:00:00,British farmers warn of cheap Irish beef imports,"News of a backlash has come as a surprise to Irish farmers, who have themselves mounted a vigorous campaign against meat from South America which sometimes undercuts Irish produce in our home market.
Devon farmer and livestock farmers' spokesman Richard Haddock has been explaining how a wave of cut-price imported beef is causing major financial problems for British abattoirs.
He said the problem lies with beef trim the off-cuts of steaks and other primal joints, which are removed at meat processors.
With demand for beef falling across the continent as a result of growing fears about BSE, huge quantities of boxed trim are arriving on British shores, much of it from Ireland, according to Mr Haddock.
He said because of the strength of sterling against the euro, trim is available for 31c a kg less than half the cost at which British abattoirs can supply it.
Used for mince and a huge range of pies and other highly-processed products which are big sellers in the UK, trim represents a crucial element of the meat trade.
It accounts for 60% of UK volume sales and is where the meat industry's profits are made.
According to Mr Haddock: ""It's not the primal cuts that make the money, it's the trim. And the imports have now reached such a huge tonnage that a lot of British abattoirs are seriously struggling.
""The next logical step is they will have to close and we shall simply export another sector of our industry abroad. But the Government still peddles its cheap food policy as though nothing was happening,"" he said.
He warns that only a massive consumer campaign will save the day for UK beef processors.
""The problem is that when you buy a ready-meal or go to a pub or a restaurant and eat lasagne or spaghetti there is no way of telling where the meat ingredients have come from and no way that the supplier can be forced to declare it.""
The United Kingdom has become the main market for Irish beef exports, taking 210,000 tonnes last year. By the end of the year, Bord Bia reported that seven multiples were selling identifiable Irish beef."
