Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,867,"Meat, cattle",1992,1992,tonnes,139669,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,867,"Meat, cattle",1993,1993,tonnes,127659,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,867,"Meat, cattle",1994,1994,tonnes,104080,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,867,"Meat, cattle",1995,1995,tonnes,83294,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,867,"Meat, cattle",1996,1996,tonnes,98781,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,867,"Meat, cattle",1997,1997,tonnes,70640,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,867,"Meat, cattle",1998,1998,tonnes,50226,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,867,"Meat, cattle",1999,1999,tonnes,32951,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,867,"Meat, cattle",2000,2000,tonnes,33878,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,867,"Meat, cattle",2001,2001,tonnes,23437,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,867,"Meat, cattle",2002,2002,tonnes,23512,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,867,"Meat, cattle",2003,2003,tonnes,33758,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,867,"Meat, cattle",2004,2004,tonnes,47071,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,867,"Meat, cattle",2005,2005,tonnes,46384,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,867,"Meat, cattle",2006,2006,tonnes,54246,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,867,"Meat, cattle",2007,2007,tonnes,69845,,Official data
TCL,Crops and livestock products,79,Germany,5610,Import Quantity,867,"Meat, cattle",2008,2008,tonnes,81862,,Official data
