Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
MK,Macro Indicators,79,Germany,6109,Value Local Currency,22008,Gross Domestic Product,1970,1970,millions,403898.488,X,International reliable sources,
MK,Macro Indicators,79,Germany,6110,Value US$,22008,Gross Domestic Product,1970,1970,millions,215835.1856,X,International reliable sources,
MK,Macro Indicators,79,Germany,6119,Value US$ per capita,22008,Gross Domestic Product,1970,1970,US$,2746.750084,X,International reliable sources,
MK,Macro Indicators,79,Germany,6183,"Value Local Currency, 2015 prices",22008,Gross Domestic Product,1970,1970,millions,1260719.421,X,International reliable sources,
MK,Macro Indicators,79,Germany,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,1970,1970,US$,17793.97766,X,International reliable sources,
MK,Macro Indicators,79,Germany,6184,"Value US$, 2015 prices",22008,Gross Domestic Product,1970,1970,millions,1398222.027,X,International reliable sources,
MK,Macro Indicators,79,Germany,6109,Value Local Currency,22008,Gross Domestic Product,1971,1971,millions,448298.2,X,International reliable sources,
MK,Macro Indicators,79,Germany,6110,Value US$,22008,Gross Domestic Product,1971,1971,millions,249984.801,X,International reliable sources,
MK,Macro Indicators,79,Germany,6119,Value US$ per capita,22008,Gross Domestic Product,1971,1971,US$,3172.801047,X,International reliable sources,
MK,Macro Indicators,79,Germany,6183,"Value Local Currency, 2015 prices",22008,Gross Domestic Product,1971,1971,millions,1300213.975,X,International reliable sources,
MK,Macro Indicators,79,Germany,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,1971,1971,US$,18302.13531,X,International reliable sources,
MK,Macro Indicators,79,Germany,6184,"Value US$, 2015 prices",22008,Gross Domestic Product,1971,1971,millions,1442024.125,X,International reliable sources,
MK,Macro Indicators,79,Germany,6155,Annual growth Local Currency,22008,Gross Domestic Product,1971,1971,%,10.99279,Fc,Calculated data,
MK,Macro Indicators,79,Germany,6181,"Annual growth Local Currency, 2015 prices",22008,Gross Domestic Product,1971,1971,%,3.1327,Fc,Calculated data,
MK,Macro Indicators,79,Germany,6129,Annual growth US$,22008,Gross Domestic Product,1971,1971,%,15.82208,Fc,Calculated data,
MK,Macro Indicators,79,Germany,61290,Annual growth US$ per capita,22008,Gross Domestic Product,1971,1971,%,15.511093,Fc,Calculated data,
MK,Macro Indicators,79,Germany,6182,"Annual growth US$, 2015 prices",22008,Gross Domestic Product,1971,1971,%,3.1327,Fc,Calculated data,
MK,Macro Indicators,79,Germany,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,1971,1971,%,2.855784,Fc,Calculated data,
MK,Macro Indicators,79,Germany,6109,Value Local Currency,22008,Gross Domestic Product,1972,1972,millions,488766.454,X,International reliable sources,
MK,Macro Indicators,79,Germany,6110,Value US$,22008,Gross Domestic Product,1972,1972,millions,299796.6514,X,International reliable sources,
MK,Macro Indicators,79,Germany,6119,Value US$ per capita,22008,Gross Domestic Product,1972,1972,US$,3799.616523,X,International reliable sources,
MK,Macro Indicators,79,Germany,6183,"Value Local Currency, 2015 prices",22008,Gross Domestic Product,1972,1972,millions,1356127.614,X,International reliable sources,
MK,Macro Indicators,79,Germany,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,1972,1972,US$,19062.12205,X,International reliable sources,
MK,Macro Indicators,79,Germany,6184,"Value US$, 2015 prices",22008,Gross Domestic Product,1972,1972,millions,1504036.084,X,International reliable sources,
MK,Macro Indicators,79,Germany,6155,Annual growth Local Currency,22008,Gross Domestic Product,1972,1972,%,9.027084,Fc,Calculated data,
MK,Macro Indicators,79,Germany,6181,"Annual growth Local Currency, 2015 prices",22008,Gross Domestic Product,1972,1972,%,4.300341,Fc,Calculated data,
MK,Macro Indicators,79,Germany,6129,Annual growth US$,22008,Gross Domestic Product,1972,1972,%,19.925952,Fc,Calculated data,
MK,Macro Indicators,79,Germany,61290,Annual growth US$ per capita,22008,Gross Domestic Product,1972,1972,%,19.755902,Fc,Calculated data,
MK,Macro Indicators,79,Germany,6182,"Annual growth US$, 2015 prices",22008,Gross Domestic Product,1972,1972,%,4.300341,Fc,Calculated data,
MK,Macro Indicators,79,Germany,61820,"Annual growth US$ per capita, 2015 prices",22008,Gross Domestic Product,1972,1972,%,4.152448,Fc,Calculated data,
MK,Macro Indicators,79,Germany,6109,Value Local Currency,22008,Gross Domestic Product,1973,1973,millions,544378.101,X,International reliable sources,
MK,Macro Indicators,79,Germany,6110,Value US$,22008,Gross Domestic Product,1973,1973,millions,398380.2371,X,International reliable sources,
MK,Macro Indicators,79,Germany,6119,Value US$ per capita,22008,Gross Domestic Product,1973,1973,US$,5047.103084,X,International reliable sources,
MK,Macro Indicators,79,Germany,6183,"Value Local Currency, 2015 prices",22008,Gross Domestic Product,1973,1973,millions,1420916.433,X,International reliable sources,
MK,Macro Indicators,79,Germany,6185,"Value US$ per capita, 2015 prices",22008,Gross Domestic Product,1973,1973,US$,19965.06014,X,International reliable sources,
MK,Macro Indicators,79,Germany,6184,"Value US$, 2015 prices",22008,Gross Domestic Product,1973,1973,millions,1575891.211,X,International reliable sources,
MK,Macro Indicators,79,Germany,6155,Annual growth Local Currency,22008,Gross Domestic Product,1973,1973,%,11.377959,Fc,Calculated data,
