Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1961,1961,1000 ha,19375,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1962,1962,1000 ha,19393,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1963,1963,1000 ha,19402,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1964,1964,1000 ha,19458,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1965,1965,1000 ha,19534,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1966,1966,1000 ha,19531,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1967,1967,1000 ha,19412,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1968,1968,1000 ha,19285,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1969,1969,1000 ha,19254,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1970,1970,1000 ha,19023,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1971,1971,1000 ha,18952,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1972,1972,1000 ha,18949,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1973,1973,1000 ha,18897,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1974,1974,1000 ha,18821,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1975,1975,1000 ha,18792,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1976,1976,1000 ha,18758,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1977,1977,1000 ha,18709,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1978,1978,1000 ha,18659,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1979,1979,1000 ha,18594,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1980,1980,1000 ha,18519,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1981,1981,1000 ha,18461,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1982,1982,1000 ha,18396,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1983,1983,1000 ha,18330,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1984,1984,1000 ha,18284,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1985,1985,1000 ha,18244,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1986,1986,1000 ha,18208,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1987,1987,1000 ha,18125,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1988,1988,1000 ha,18097,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1989,1989,1000 ha,18056,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1990,1990,1000 ha,18032,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1991,1991,1000 ha,17136,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1992,1992,1000 ha,16951,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1993,1993,1000 ha,17162,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1994,1994,1000 ha,17308,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1995,1995,1000 ha,17343,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1996,1996,1000 ha,17337,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1997,1997,1000 ha,17327,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1998,1998,1000 ha,17373,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,1999,1999,1000 ha,17152,Fc,Calculated data
RL,Land Use,79,Germany,5110,Area,6602,Agriculture,2000,2000,1000 ha,17068,Fc,Calculated data
