Link,Date,Title,Text
https://www.ifa.ie/markets-and-prices/news-article-4030/,2010-11-08,IFA Issues Warning to Factories on Cattle Prices,"IFA National Livestock Chairman Michael Doran has issued a strong warning to meat factories who he accused of holding back on a badly needed cattle price increase.
He said, “factories need to make it abundantly clear to their retail and wholesale customers right now that they will not have the beef at prices less than €3.50/kg out of sheds. Winter finishers are not going to tolerate another year of losses.”
The IFA livestock leader said as soon as the grass cattle are out of the system, supplies should tighten rapidly and finishers must dig in and insist on major price increases.
Michael Doran said the factories are in a very strong position with retailers to insist on substantial price increases. He said beef is in very short supply on both the EU and world markets. World beef prices are up 50% on this time last year. There are no alternatives supplies available and the Department of Agriculture figures show that Irish cattle numbers are down a massive 330,000 head compared to last year.
The IFA livestock leader said Teagasc has produced the facts and figures on the economics of winter finishing. Nobody at factory or retail level has challenged this data.
Michael Doran said that the blatant disregard and lack of respect being shown by some factories and their agents towards farmers in buying cattle is an utter disgrace.
He said IFA has clear examples of cases where factories and their agent have bought cattle off farmers under complete false pretences.  In some cases the agent will quote a base price and the factory will pay a completely different base price on the docket.
The IFA Livestock leader said the latest move by some factories in attempting to impose a hefty weight limit penalty without informing the farmers before hand is nothing short of daylight robbery.  Michael Doran said farmers must strongly reject weight limit penalties.
He said the days when a cattle man’s word was his bond is fast disappearing among factories and agents with this type of sharp practice.
Michael Doran said no farmers should part with cattle to any agent or factory without clearly knowing the full terms of trade.  He said the base price must be clear.  Any deductions or bonus must be up front, fully explained and transparent.
Mr Doran said if an agent or procurement manager is not in a position to provide this information and explain it fully to the farmer, he should not have the job and the farmers should not sell to him."
https://www.ifa.ie/markets-and-prices/news-article-4035/,2010-11-10,Growing Anger and Frustration over Cattle Prices for Winter Finishers – IFA,"IFA National Livestock Committee Chairman Michael Doran said there is a growing level of anger and frustration among livestock farmers at the continuing failure of the meat factories to demand and secure a cattle price increase from the large supermarket retailers.
Michael Doran said Irish factories must take heed of the situation in France where angry French farmers are protesting against factories on cattle prices.
The IFA livestock leader said there is no evidence from the factories that they are demanding a cattle price increase from the market. He said “the factories appear very satisfied to continue to deliver beef to the retailers at loss making prices for producers. This situation is untenable and cannot continue”.
Michael Doran said winter feeders are not going to go through another year of losses. He said the time has come for the factories to stand up to the retailers and demand viable cattle prices. He said factories need to make it clear to their retail clients that they will not have beef at prices less than €3.50/kg out of sheds.
The IFA livestock leader said there is major scope for Irish beef prices to increase. He said cattle numbers in the country are down 330,000 head on last year and finished cattle supplies are going to tighten dramatically. Cattle prices across our main export markets in the UK and Europe are 25c – 60c/kg above Irish prices. World beef prices are up over 50% with Brazilian prices of €2.74/kg.
Michael Doran said there was never a better set of circumstances in terms of supply and demand for Irish factories to secure a major increase in beef prices."
https://www.ifa.ie/markets-and-prices/news-article-4052/,2010-11-18,Doran Accuses Factories of Holding Back on Cattle Price Increase,"IFA National Livestock Committee Chairman Michael Doran said talk of a price increase from the factories was hollow and cheap, when they are doing everything to hold back an increase and not even looking for a price rise from retailers despite the positive market situation.
He said farmers are not going to sell cattle out of sheds at loss making prices and will have to put the handbrake on supplies to secure a viable price.
Michael Doran said, “With the last of the grass cattle moving this week, farmers must dig in hard and demand a substantial price increase from factories and agents. They must make it clear they are not prepared to sell beef cattle out of sheds at current loss making prices.”
The IFA livestock leader said there is very strong demand for beef and the market is well capable of returning a substantial price increase. He said farmers are angry at the failure of the factories to look for or secure a price increase from a positive market.
Michael Doran said with the major increase in costs this year and concentrate feed up €60 to €70 per tonne, winter finishers need a price of €3.50/kg.
On the market side, Michael Doran said the UK cattle prices are in the order of £2.68 to £2.70/kg str which is equivalent to €3.33/kg at an 85p/€1 exchange rate. European prices are ranging from €3.25/kg to €3.60/kg. World market prices continue to rise with the Brazilian price now up at the Irish price level.
On the supply side, Michael Doran said the Department of Agriculture AIM figures for August 1st shows that there is a reduction in total cattle numbers compared to last year of 330,000 head. In addition, the kill to date this year is up 117,000 head and live exports are up an additional 55,500 head."
https://www.ifa.ie/markets-and-prices/news-article-4068/,2010-11-25,Hold Now and Demand a Price Increase for Cattle out of Sheds – IFA,"IFA President John Bryan said now is the time for winter finishers to hold and demand an immediate price increase from the factories for cattle out of sheds. He said winter finishers cannot sell cattle at a loss and need an immediate and substantial price increase from the factories.
Mr Bryan said cattle prices in both Northern Ireland and Britain are rising by up 10c/kg in the last 10 days. Prices across all of the main European markets are also rising up 3c to 6c/kg. World market prices have reached record levels.
The IFA President accused the factories of holding back on a much-needed price increase here. He said demand for beef is exceptionally strong. “Supermarkets and factories need the cattle and they do not have an alternative supply base.”
John Bryan said, “IFA, together with the NFU from England, Scotland and Wales and the Ulster Farmers’ Union have called a cattle price summit in Wales for next week. Winter finishers are not going to take another year of losses. With price increases across the water, the finger is being firmly pointed at the Irish beef processing industry for holding back on a price increase.”
The IFA President said winter finishers should put the handbrake on and hold out for a substantial price rise from the factories. He said feeders cannot afford to sell at current loss making prices. Feed costs are up €60 – €70/t. Teagasc have produced the figures to show feeders need a price of €3.50/kg to €3.70/kg for cattle out of shed.
On the supply side, John Bryan said the factory kill is up 120,000 head, live exports are up 55,000 head and the CMMS data is showing 330,000 head less cattle in the country. All of this points to the fact that cattle numbers are tightening and will become very scarce."
https://www.ifa.ie/farm-sectors/news-article-4150/,2011-01-07,Opening of Turkish Market Positive Move for Irish Beef – IFA,"IFA President John Bryan said the move to open the Turkish market for Irish beef exports was very positive, and should help to drive on cattle prices.
John Bryan said access to the high-priced Turkish market has already had a major impact on the beef market across Europe, with an increase in German cattle prices of €200 per head.
He said Bord Bia and industry sources have indicated that Turkey could handle imports of 150,000 tonnes annually and become a major destination for European beef in the future.
Recent figures from the Turkish Ministry for Agriculture show that 80,000 tonnes of carcase beef have been imported in the last 12 months. The surge in Turkish beef imports follows a decision by the Government last Autumn to reduce customs tax from 225% to 30%."
https://www.ifa.ie/markets-and-prices/news-article-4200/,2011-01-14,Strong Cattle Prices – IFA,"IFA National Livestock Committee Chairman Michael Doran said cattle prices are continuing to rise, up 6–10c/kg in the last 10 days driven by very strong market demand, tight supplies and a determination by winter finishers to recover the increases in feed costs. He said, “factory agents and procurement managers are very active with numerous factories chasing the same cattle and some feeders saying agents they hadn’t seen in 5 years calling into them looking for stock.”
Michael Doran said the base price for steers had moved up to €3.36/kg to €3.42/kg with some top prices of €3.48/kg paid. Heifer prices have increased to €3.42/kg to €3.50/kg with tops of €3.56/kg.
Mr Doran pointed out that based on the Department of Agriculture official reported prices, up to 10 factories paid an average base price for heifers in excess of €3.50/kg. He said clearly this means many farmers were getting a heifer base price well in excess of €3.50/kg.
The IFA livestock leader said with the most recent increase in feed and fertiliser costs, winter finishers will have to get substantial further cattle price increases to recover these additional expenses. He said based on the latest figures the increased costs were the equivalent of up to 20c/kg in beef prices.
On Turkey, Michael Doran said a number of the independent factories had expressed a strong interest in exporting bulls. He said Minister Smith had opened the Turkish market and it was now up to the factories to take advantage of the higher market returns available. He said the spotlight is now firmly on the industry to demonstrate its commitment to maximising market returns in the form of higher producer prices.
On supplies, Michael Doran said Bord Bia are forecasting a reduction in the kill of up to 150,000 cattle for 2011 and a similar reduction in 2012."
https://www.ifa.ie/farm-sectors/news-article-4282/,2011-02-23,IFA Launch Profit Plan for the Beef + Livestock Sector,"IFA President John Bryan has launched a Profit Plan for the Beef + Livestock sector this week which identifies €450m in additional profit potential for livestock farmers. The IFA Profit Plan has been submitted to the Food Harvest 2020 Beef Implementation committee, recently established by the Government.
Mr Bryan said “In our Profit Plan, IFA has proposed 54 specific action points and recommendations on beef and livestock for implementation by the Food Harvest Committee which met for the first time this week.”
He said, “Profitability at farm level is essential for the beef and livestock sector to achieve the 20% increase in output value targeted in the Food Harvest 2020 report. It correctly identified the closing of the price differential between Ireland and other premium competitors in the UK and EU as the key challenge facing the beef sector.”
IFA National Livestock Chairman Michael Doran said the main points contained in the IFA Submission include:
Processors must close the unacceptable price gap between Irish and UK/ EU cattle prices on our main export markets in order to return sustainable profit at farm level;
Increased cattle price competition by maximising market access and live export opportunities;
Cattle price contracts at profitable levels for winter finishers and other beef production systems;
Properly rewarding farmers for quality production;
Delivery by An Bord Bia in developing and promoting the Brand Ireland concept to achieve pride of place on supermarket shelves and a premium price for Irish beef;
A strong Government beef and livestock policy which will secure the future of direct payments including the Single Farm Payment in CAP 2013, Disadvantaged Areas, REPS, AEOS and the Suckler Cow Welfare Scheme;
Strongly defending the Irish beef sector in the Mercosur negotiations and on EU import standards;
Maintaining and growing the National asset that is our one million head beef suckler cow herd;
An effective Teagasc programme and ICBF beef breeding strategy to deliver improved technical efficiency and productivity at farm level;
Reducing excessive regulation, bureaucracy and costs on production.
The IFA President said beef and livestock is Ireland’s largest farming sector with an output value close to €2bn and employing 150,000 people. It includes beef exports of 500,000t and live cattle exports of over 300,000 head. “Given the importance of the beef and livestock sector to the Irish economy, profit and growth at farm level are essential to Ireland’s economic recovery, maintaining jobs and exports.”"
https://www.ifa.ie/farm-sectors/news-article-4345/,2011-03-08,IFA Presents Beef Proposals to 2020 Implementation Committee,"IFA President John Bryan and National Livestock Chairman Michael Doran have presented details of the IFA Profit Plan for the Beef + Livestock sector to Mr. Michael Dowling, chairman of the Food Harvest 2020 Implementation Committee for beef.
In a meeting in the Irish Farm Centre, John Bryan said profitability at farm level is essential for the beef and livestock sector to achieve the 20% increase in output value targeted in the Food Harvest 2020 report. He said the 2020 report has correctly identified the closing of the price differential between Ireland and other premium competitors in the UK and EU markets as the key challenge facing the beef sector.
The IFA President said we went through the details of the 54 specific action points and recommendations proposed by IFA for implementation by the Food Harvest Committee. He said the IFA plan has identified €450m in additional profit potential for livestock farmers.
IFA National Livestock Chairman Michael Doran said the main points discussed with Michael Dowling and contained in the IFA Submission include;
Processors must close the unacceptable price gap between Irish and UK/ EU cattle prices on our main export markets in order to return sustainable profit at farm level.
Increased cattle price competition by maximising market access and live export opportunities.
Cattle price contracts at profitable levels for winter finishers and other beef production systems.
Properly rewarding farmers for quality production.
Delivery by An Bord Bia in developing and promoting the Brand Ireland concept to achieve pride of place on supermarket shelves and a premium price for Irish beef.
A strong Government beef and livestock policy which will secure the future of direct payments including the Single Farm Payment in CAP 2013, Disadvantaged Areas, REPS, AEOS and the Suckler Cow Welfare Scheme.
Strongly defending the Irish beef sector in the Mercosur negotiations and on EU import standards.
Maintaining and growing the National asset that is our one million head beef suckler cow herd.
An effective Teagasc programme and ICBF beef breeding strategy to deliver improved technical efficiency and productivity at farm level.
Reducing excessive regulation, bureaucracy and costs on production.
The IFA Livestock Chairman said beef and livestock is Ireland’s largest farming sector with an output value close to €2bn, including beef exports of 500,000t and live cattle exports of over 300,000 head. He said the sector employs over 150,000 people including farmers. “Given the importance of the beef and livestock sector to the Irish economy, profit and growth at farm level are essential to Ireland’s economic recovery, maintaining jobs and exports.”"
https://www.ifa.ie/markets-and-prices/news-article-4342/,2011-03-10,Factories Must Increase Cattle Prices – IFA,"IFA National Livestock Committee Chairman Michael Doran said beef factories and retailers must increase cattle prices to reflect the significant increase in the costs of beef production this spring.
Michael Doran said Teagasc has calculated that production costs are up 11% driven by higher feed, fertiliser and fuel costs. This is equivalent to an additional cost of 32c/kg and prices must increase to cover this.
Michael Doran said beef prices have been stuck in a vice since the New Year and with costs rocketing, prices must now rise to take winter finishers out of a loss making situation.
Michael Doran said there was significant potential in the market for prices to increase with Bord Bia reporting prices in the UK at the equivalent of €3.48/kg for R grade steers. He said R grade young bulls in France are making the equivalent of €3.57/kg, €3.82/kg in Germany and €4.00/kg in Italy.
Michael Doran said IFA is working with Bord Bia on a new steak promotional campaign for the domestic market for the end of March.
On prices, the IFA man said factories are paying up to €3.36/kg base price for steers, €3.40 to €3.50/kg base prices for heifers and bulls. He said cows are making from €2.94 to €3.10/kg. “The big factory groups are trying to halt the base price at €3.30/kg but farmers are digging in and getting up to €3.36/kg for steers and €3.50/kg for heifers and bulls.”"
https://www.ifa.ie/markets-and-prices/news-article-4360/,2011-03-16,Beef Factory Prices Must Rise – IFA,"IFA National Livestock Committee Chairman Michael Doran said beef prices at the factories must rise in order to lift winter finishers out of the current loss making situation as a result of higher costs.
Michael Doran said production costs are up dramatically this year with Teagasc calculating the increase at the equivalent of 32c/kg on beef farms. He said feed, fertiliser and fuel costs have rocketed and both factories and retailers must take account of these increases.
On the market side, Michael Doran said the price differential with the average cattle price in our main markets is 29c/kg or over €100 per head. He said R3 grade male cattle prices in the UK are the equivalent of €3.49/kg. In France, R3 cattle prices are €3.56/kg, €3.62/kg in Spain and €3.77/kg in Germany. In our top paying market in Italy, R3 male animals are making €3.92/kg.
In addition, Michael Doran said the factory returns from the increase in the value of the fifth quarter has also increased substantially with high prices making up to €50 per head, which is the equivalent of 14c/kg.
Michael Doran said there is plenty of scope in the market place and in factory returns to provide a substantial increase in cattle prices, in order to cover the higher costs of production"
