Statistic,Month,Commodity Group,UNIT,VALUE
Monthly rate of change in HICP,1996M01,Meat (COICOP 01.1.2),%,
Monthly rate of change in HICP,1996M02,Meat (COICOP 01.1.2),%,0.5
Monthly rate of change in HICP,1996M03,Meat (COICOP 01.1.2),%,0.9
Monthly rate of change in HICP,1996M04,Meat (COICOP 01.1.2),%,1.1
Monthly rate of change in HICP,1996M05,Meat (COICOP 01.1.2),%,1
Monthly rate of change in HICP,1996M06,Meat (COICOP 01.1.2),%,0.1
Monthly rate of change in HICP,1996M07,Meat (COICOP 01.1.2),%,-0.4
Monthly rate of change in HICP,1996M08,Meat (COICOP 01.1.2),%,-0.7
Monthly rate of change in HICP,1996M09,Meat (COICOP 01.1.2),%,-0.7
Monthly rate of change in HICP,1996M10,Meat (COICOP 01.1.2),%,-0.2
Monthly rate of change in HICP,1996M11,Meat (COICOP 01.1.2),%,0.4
Monthly rate of change in HICP,1996M12,Meat (COICOP 01.1.2),%,0
Monthly rate of change in HICP,1997M01,Meat (COICOP 01.1.2),%,1.3
Monthly rate of change in HICP,1997M02,Meat (COICOP 01.1.2),%,0.1
Monthly rate of change in HICP,1997M03,Meat (COICOP 01.1.2),%,0
Monthly rate of change in HICP,1997M04,Meat (COICOP 01.1.2),%,0.6
Monthly rate of change in HICP,1997M05,Meat (COICOP 01.1.2),%,0.3
Monthly rate of change in HICP,1997M06,Meat (COICOP 01.1.2),%,-0.3
Monthly rate of change in HICP,1997M07,Meat (COICOP 01.1.2),%,0
Monthly rate of change in HICP,1997M08,Meat (COICOP 01.1.2),%,-0.1
Monthly rate of change in HICP,1997M09,Meat (COICOP 01.1.2),%,-0.3
Monthly rate of change in HICP,1997M10,Meat (COICOP 01.1.2),%,-0.4
Monthly rate of change in HICP,1997M11,Meat (COICOP 01.1.2),%,0.3
Monthly rate of change in HICP,1997M12,Meat (COICOP 01.1.2),%,0
Monthly rate of change in HICP,1998M01,Meat (COICOP 01.1.2),%,-1.1
Monthly rate of change in HICP,1998M02,Meat (COICOP 01.1.2),%,-1
Monthly rate of change in HICP,1998M03,Meat (COICOP 01.1.2),%,1.1
Monthly rate of change in HICP,1998M04,Meat (COICOP 01.1.2),%,1
Monthly rate of change in HICP,1998M05,Meat (COICOP 01.1.2),%,-0.2
Monthly rate of change in HICP,1998M06,Meat (COICOP 01.1.2),%,0
Monthly rate of change in HICP,1998M07,Meat (COICOP 01.1.2),%,-0.1
Monthly rate of change in HICP,1998M08,Meat (COICOP 01.1.2),%,0.3
Monthly rate of change in HICP,1998M09,Meat (COICOP 01.1.2),%,0
Monthly rate of change in HICP,1998M10,Meat (COICOP 01.1.2),%,-1
Monthly rate of change in HICP,1998M11,Meat (COICOP 01.1.2),%,-1.6
Monthly rate of change in HICP,1998M12,Meat (COICOP 01.1.2),%,0.9
Monthly rate of change in HICP,1999M01,Meat (COICOP 01.1.2),%,-0.6
Monthly rate of change in HICP,1999M02,Meat (COICOP 01.1.2),%,0.2
Monthly rate of change in HICP,1999M03,Meat (COICOP 01.1.2),%,0.9
Monthly rate of change in HICP,1999M04,Meat (COICOP 01.1.2),%,0.8
Monthly rate of change in HICP,1999M05,Meat (COICOP 01.1.2),%,0.4
Monthly rate of change in HICP,1999M06,Meat (COICOP 01.1.2),%,-0.2
Monthly rate of change in HICP,1999M07,Meat (COICOP 01.1.2),%,-0.1
Monthly rate of change in HICP,1999M08,Meat (COICOP 01.1.2),%,0.2
Monthly rate of change in HICP,1999M09,Meat (COICOP 01.1.2),%,-0.2
Monthly rate of change in HICP,1999M10,Meat (COICOP 01.1.2),%,-0.4
Monthly rate of change in HICP,1999M11,Meat (COICOP 01.1.2),%,1
Monthly rate of change in HICP,1999M12,Meat (COICOP 01.1.2),%,0.2
Monthly rate of change in HICP,2000M01,Meat (COICOP 01.1.2),%,0
Monthly rate of change in HICP,2000M02,Meat (COICOP 01.1.2),%,1
Monthly rate of change in HICP,2000M03,Meat (COICOP 01.1.2),%,0.3
Monthly rate of change in HICP,2000M04,Meat (COICOP 01.1.2),%,0.8
Monthly rate of change in HICP,2000M05,Meat (COICOP 01.1.2),%,1.7
Monthly rate of change in HICP,2000M06,Meat (COICOP 01.1.2),%,-0.7
Monthly rate of change in HICP,2000M07,Meat (COICOP 01.1.2),%,1
Monthly rate of change in HICP,2000M08,Meat (COICOP 01.1.2),%,0
Monthly rate of change in HICP,2000M09,Meat (COICOP 01.1.2),%,0.8
Monthly rate of change in HICP,2000M10,Meat (COICOP 01.1.2),%,-0.1
Monthly rate of change in HICP,2000M11,Meat (COICOP 01.1.2),%,0.3
Monthly rate of change in HICP,2000M12,Meat (COICOP 01.1.2),%,0.8
Monthly rate of change in HICP,2001M01,Meat (COICOP 01.1.2),%,0.3
Monthly rate of change in HICP,2001M02,Meat (COICOP 01.1.2),%,0.9
Monthly rate of change in HICP,2001M03,Meat (COICOP 01.1.2),%,3.9
Monthly rate of change in HICP,2001M04,Meat (COICOP 01.1.2),%,2.6
Monthly rate of change in HICP,2001M05,Meat (COICOP 01.1.2),%,0.5
Monthly rate of change in HICP,2001M06,Meat (COICOP 01.1.2),%,0.1
Monthly rate of change in HICP,2001M07,Meat (COICOP 01.1.2),%,0.4
Monthly rate of change in HICP,2001M08,Meat (COICOP 01.1.2),%,-0.6
Monthly rate of change in HICP,2001M09,Meat (COICOP 01.1.2),%,0.3
Monthly rate of change in HICP,2001M10,Meat (COICOP 01.1.2),%,-0.1
Monthly rate of change in HICP,2001M11,Meat (COICOP 01.1.2),%,1
Monthly rate of change in HICP,2001M12,Meat (COICOP 01.1.2),%,0.6
Monthly rate of change in HICP,2002M01,Meat (COICOP 01.1.2),%,0.1
