Statistic,Month,Commodity Group,UNIT,VALUE
EU HICP,1996M01,Meat (COICOP 01.1.2),Base 2015=100,87.8
EU HICP,1996M02,Meat (COICOP 01.1.2),Base 2015=100,88.2
EU HICP,1996M03,Meat (COICOP 01.1.2),Base 2015=100,89
EU HICP,1996M04,Meat (COICOP 01.1.2),Base 2015=100,90
EU HICP,1996M05,Meat (COICOP 01.1.2),Base 2015=100,90.9
EU HICP,1996M06,Meat (COICOP 01.1.2),Base 2015=100,91
EU HICP,1996M07,Meat (COICOP 01.1.2),Base 2015=100,90.6
EU HICP,1996M08,Meat (COICOP 01.1.2),Base 2015=100,90
EU HICP,1996M09,Meat (COICOP 01.1.2),Base 2015=100,89.4
EU HICP,1996M10,Meat (COICOP 01.1.2),Base 2015=100,89.2
EU HICP,1996M11,Meat (COICOP 01.1.2),Base 2015=100,89.6
EU HICP,1996M12,Meat (COICOP 01.1.2),Base 2015=100,89.6
EU HICP,1997M01,Meat (COICOP 01.1.2),Base 2015=100,90.8
EU HICP,1997M02,Meat (COICOP 01.1.2),Base 2015=100,90.9
EU HICP,1997M03,Meat (COICOP 01.1.2),Base 2015=100,90.9
EU HICP,1997M04,Meat (COICOP 01.1.2),Base 2015=100,91.4
EU HICP,1997M05,Meat (COICOP 01.1.2),Base 2015=100,91.7
EU HICP,1997M06,Meat (COICOP 01.1.2),Base 2015=100,91.4
EU HICP,1997M07,Meat (COICOP 01.1.2),Base 2015=100,91.4
EU HICP,1997M08,Meat (COICOP 01.1.2),Base 2015=100,91.3
EU HICP,1997M09,Meat (COICOP 01.1.2),Base 2015=100,91
EU HICP,1997M10,Meat (COICOP 01.1.2),Base 2015=100,90.6
EU HICP,1997M11,Meat (COICOP 01.1.2),Base 2015=100,90.9
EU HICP,1997M12,Meat (COICOP 01.1.2),Base 2015=100,90.9
EU HICP,1998M01,Meat (COICOP 01.1.2),Base 2015=100,89.9
EU HICP,1998M02,Meat (COICOP 01.1.2),Base 2015=100,89
EU HICP,1998M03,Meat (COICOP 01.1.2),Base 2015=100,90
