Statistic,Month,Commodity Group,VALUE
EU HICP,1996M01,All-items HICP (COICOP 00),68.1
EU HICP,1996M01,Food and non-alcoholic beverages (COICOP 01),79
EU HICP,1996M01,Food (COICOP 01.1),79.3
EU HICP,1996M01,Bread and cereals (COICOP 01.1.1),75.5
EU HICP,1996M01,Meat (COICOP 01.1.2),87.8
EU HICP,1996M02,All-items HICP (COICOP 00),68.6
EU HICP,1996M02,Food and non-alcoholic beverages (COICOP 01),79.3
EU HICP,1996M02,Food (COICOP 01.1),79.5
EU HICP,1996M02,Bread and cereals (COICOP 01.1.1),75.8
EU HICP,1996M02,Meat (COICOP 01.1.2),88.2
EU HICP,1996M03,All-items HICP (COICOP 00),68.9
EU HICP,1996M03,Food and non-alcoholic beverages (COICOP 01),79.7
EU HICP,1996M03,Food (COICOP 01.1),79.9
EU HICP,1996M03,Bread and cereals (COICOP 01.1.1),76.5
EU HICP,1996M03,Meat (COICOP 01.1.2),89
EU HICP,1996M04,All-items HICP (COICOP 00),68.8
EU HICP,1996M04,Food and non-alcoholic beverages (COICOP 01),80.1
EU HICP,1996M04,Food (COICOP 01.1),80.4
EU HICP,1996M04,Bread and cereals (COICOP 01.1.1),77.2
EU HICP,1996M04,Meat (COICOP 01.1.2),90
EU HICP,1996M05,All-items HICP (COICOP 00),68.9
EU HICP,1996M05,Food and non-alcoholic beverages (COICOP 01),80.5
EU HICP,1996M05,Food (COICOP 01.1),80.8
EU HICP,1996M05,Bread and cereals (COICOP 01.1.1),77.9
EU HICP,1996M05,Meat (COICOP 01.1.2),90.9
EU HICP,1996M06,All-items HICP (COICOP 00),69.1
EU HICP,1996M06,Food and non-alcoholic beverages (COICOP 01),80.6
EU HICP,1996M06,Food (COICOP 01.1),81
EU HICP,1996M06,Bread and cereals (COICOP 01.1.1),78.1
EU HICP,1996M06,Meat (COICOP 01.1.2),91
EU HICP,1996M07,All-items HICP (COICOP 00),68.9
EU HICP,1996M07,Food and non-alcoholic beverages (COICOP 01),80.6
EU HICP,1996M07,Food (COICOP 01.1),81
EU HICP,1996M07,Bread and cereals (COICOP 01.1.1),78.1
EU HICP,1996M07,Meat (COICOP 01.1.2),90.6
EU HICP,1996M08,All-items HICP (COICOP 00),69.3
EU HICP,1996M08,Food and non-alcoholic beverages (COICOP 01),80.5
EU HICP,1996M08,Food (COICOP 01.1),80.8
EU HICP,1996M08,Bread and cereals (COICOP 01.1.1),77.9
EU HICP,1996M08,Meat (COICOP 01.1.2),90
EU HICP,1996M09,All-items HICP (COICOP 00),69.7
EU HICP,1996M09,Food and non-alcoholic beverages (COICOP 01),80.2
EU HICP,1996M09,Food (COICOP 01.1),80.5
EU HICP,1996M09,Bread and cereals (COICOP 01.1.1),77.7
EU HICP,1996M09,Meat (COICOP 01.1.2),89.4
EU HICP,1996M10,All-items HICP (COICOP 00),69.6
EU HICP,1996M10,Food and non-alcoholic beverages (COICOP 01),80
EU HICP,1996M10,Food (COICOP 01.1),80.2
