Statistic,Month,Type of Animal,UNIT,VALUE
Number of Livestock Slaughtered,1975M01,Sheep,000 Head,158.1
Number of Livestock Slaughtered,1975M01,Pigs,000 Head,134.3
Number of Livestock Slaughtered,1975M01,Bullocks,000 Head,
Number of Livestock Slaughtered,1975M01,Bulls,000 Head,
Number of Livestock Slaughtered,1975M01,Cows,000 Head,
Number of Livestock Slaughtered,1975M01,Heifers,000 Head,
Number of Livestock Slaughtered,1975M01,Calves,000 Head,1
Number of Livestock Slaughtered,1975M01,Lambs,000 Head,
Number of Livestock Slaughtered,1975M01,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1975M01,Cattle without Calves,000 Head,188.2
Number of Livestock Slaughtered,1975M02,Sheep,000 Head,134.9
Number of Livestock Slaughtered,1975M02,Pigs,000 Head,113.2
Number of Livestock Slaughtered,1975M02,Bullocks,000 Head,
Number of Livestock Slaughtered,1975M02,Bulls,000 Head,
Number of Livestock Slaughtered,1975M02,Cows,000 Head,
Number of Livestock Slaughtered,1975M02,Heifers,000 Head,
Number of Livestock Slaughtered,1975M02,Calves,000 Head,0.1
Number of Livestock Slaughtered,1975M02,Lambs,000 Head,
Number of Livestock Slaughtered,1975M02,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1975M02,Cattle without Calves,000 Head,127.5
Number of Livestock Slaughtered,1975M03,Sheep,000 Head,137.7
Number of Livestock Slaughtered,1975M03,Pigs,000 Head,111.7
Number of Livestock Slaughtered,1975M03,Bullocks,000 Head,
Number of Livestock Slaughtered,1975M03,Bulls,000 Head,
Number of Livestock Slaughtered,1975M03,Cows,000 Head,
Number of Livestock Slaughtered,1975M03,Heifers,000 Head,
Number of Livestock Slaughtered,1975M03,Calves,000 Head,0.5
Number of Livestock Slaughtered,1975M03,Lambs,000 Head,
Number of Livestock Slaughtered,1975M03,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1975M03,Cattle without Calves,000 Head,131.4
Number of Livestock Slaughtered,1975M04,Sheep,000 Head,139.6
Number of Livestock Slaughtered,1975M04,Pigs,000 Head,132.6
Number of Livestock Slaughtered,1975M04,Bullocks,000 Head,
Number of Livestock Slaughtered,1975M04,Bulls,000 Head,
Number of Livestock Slaughtered,1975M04,Cows,000 Head,
Number of Livestock Slaughtered,1975M04,Heifers,000 Head,
Number of Livestock Slaughtered,1975M04,Calves,000 Head,0.2
Number of Livestock Slaughtered,1975M04,Lambs,000 Head,
Number of Livestock Slaughtered,1975M04,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1975M04,Cattle without Calves,000 Head,128
Number of Livestock Slaughtered,1975M05,Sheep,000 Head,190.4
Number of Livestock Slaughtered,1975M05,Pigs,000 Head,114.3
Number of Livestock Slaughtered,1975M05,Bullocks,000 Head,
Number of Livestock Slaughtered,1975M05,Bulls,000 Head,
Number of Livestock Slaughtered,1975M05,Cows,000 Head,
Number of Livestock Slaughtered,1975M05,Heifers,000 Head,
Number of Livestock Slaughtered,1975M05,Calves,000 Head,0.3
Number of Livestock Slaughtered,1975M05,Lambs,000 Head,
Number of Livestock Slaughtered,1975M05,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1975M05,Cattle without Calves,000 Head,121
Number of Livestock Slaughtered,1975M06,Sheep,000 Head,117.1
Number of Livestock Slaughtered,1975M06,Pigs,000 Head,95.9
Number of Livestock Slaughtered,1975M06,Bullocks,000 Head,
Number of Livestock Slaughtered,1975M06,Bulls,000 Head,
Number of Livestock Slaughtered,1975M06,Cows,000 Head,
Number of Livestock Slaughtered,1975M06,Heifers,000 Head,
Number of Livestock Slaughtered,1975M06,Calves,000 Head,0.4
Number of Livestock Slaughtered,1975M06,Lambs,000 Head,
Number of Livestock Slaughtered,1975M06,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1975M06,Cattle without Calves,000 Head,76.5
Number of Livestock Slaughtered,1975M07,Sheep,000 Head,154.6
Number of Livestock Slaughtered,1975M07,Pigs,000 Head,133.3
Number of Livestock Slaughtered,1975M07,Bullocks,000 Head,
Number of Livestock Slaughtered,1975M07,Bulls,000 Head,
Number of Livestock Slaughtered,1975M07,Cows,000 Head,
Number of Livestock Slaughtered,1975M07,Heifers,000 Head,
Number of Livestock Slaughtered,1975M07,Calves,000 Head,0.4
Number of Livestock Slaughtered,1975M07,Lambs,000 Head,
Number of Livestock Slaughtered,1975M07,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1975M07,Cattle without Calves,000 Head,144
Number of Livestock Slaughtered,1975M08,Sheep,000 Head,161.2
Number of Livestock Slaughtered,1975M08,Pigs,000 Head,118.3
Number of Livestock Slaughtered,1975M08,Bullocks,000 Head,
Number of Livestock Slaughtered,1975M08,Bulls,000 Head,
Number of Livestock Slaughtered,1975M08,Cows,000 Head,
Number of Livestock Slaughtered,1975M08,Heifers,000 Head,
Number of Livestock Slaughtered,1975M08,Calves,000 Head,0.6
Number of Livestock Slaughtered,1975M08,Lambs,000 Head,
Number of Livestock Slaughtered,1975M08,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1975M08,Cattle without Calves,000 Head,150.7
Number of Livestock Slaughtered,1975M09,Sheep,000 Head,183.7
Number of Livestock Slaughtered,1975M09,Pigs,000 Head,135.4
Number of Livestock Slaughtered,1975M09,Bullocks,000 Head,
Number of Livestock Slaughtered,1975M09,Bulls,000 Head,
Number of Livestock Slaughtered,1975M09,Cows,000 Head,
Number of Livestock Slaughtered,1975M09,Heifers,000 Head,
Number of Livestock Slaughtered,1975M09,Calves,000 Head,0.3
Number of Livestock Slaughtered,1975M09,Lambs,000 Head,
Number of Livestock Slaughtered,1975M09,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1975M09,Cattle without Calves,000 Head,169.4
Number of Livestock Slaughtered,1975M10,Sheep,000 Head,166.1
Number of Livestock Slaughtered,1975M10,Pigs,000 Head,142.5
Number of Livestock Slaughtered,1975M10,Bullocks,000 Head,
Number of Livestock Slaughtered,1975M10,Bulls,000 Head,
Number of Livestock Slaughtered,1975M10,Cows,000 Head,
Number of Livestock Slaughtered,1975M10,Heifers,000 Head,
Number of Livestock Slaughtered,1975M10,Calves,000 Head,1.1
Number of Livestock Slaughtered,1975M10,Lambs,000 Head,
Number of Livestock Slaughtered,1975M10,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1975M10,Cattle without Calves,000 Head,195.8
Number of Livestock Slaughtered,1975M11,Sheep,000 Head,142.3
Number of Livestock Slaughtered,1975M11,Pigs,000 Head,122.8
Number of Livestock Slaughtered,1975M11,Bullocks,000 Head,
Number of Livestock Slaughtered,1975M11,Bulls,000 Head,
Number of Livestock Slaughtered,1975M11,Cows,000 Head,
Number of Livestock Slaughtered,1975M11,Heifers,000 Head,
Number of Livestock Slaughtered,1975M11,Calves,000 Head,0.9
Number of Livestock Slaughtered,1975M11,Lambs,000 Head,
Number of Livestock Slaughtered,1975M11,Cattle (Including Calves),000 Head,
Number of Livestock Slaughtered,1975M11,Cattle without Calves,000 Head,176.1
Number of Livestock Slaughtered,1975M12,Sheep,000 Head,145.6
Number of Livestock Slaughtered,1975M12,Pigs,000 Head,135.7
Number of Livestock Slaughtered,1975M12,Bullocks,000 Head,
Number of Livestock Slaughtered,1975M12,Bulls,000 Head,
Number of Livestock Slaughtered,1975M12,Cows,000 Head,
