DATE,POPTOTDEA647NWDB
1/1/1960,72814900
1/1/1961,73377632
1/1/1962,74025784
1/1/1963,74714353
1/1/1964,75318337
1/1/1965,75963695
1/1/1966,76600311
1/1/1967,76951336
1/1/1968,77294314
1/1/1969,77909682
1/1/1970,78169289
1/1/1971,78312842
1/1/1972,78688452
1/1/1973,78936666
1/1/1974,78967433
1/1/1975,78673554
1/1/1976,78336950
1/1/1977,78159814
1/1/1978,78091820
1/1/1979,78126350
1/1/1980,78288576
1/1/1981,78407907
1/1/1982,78333366
1/1/1983,78128282
1/1/1984,77858685
1/1/1985,77684873
1/1/1986,77720436
1/1/1987,77839920
1/1/1988,78144619
1/1/1989,78751283
1/1/1990,79433029
1/1/1991,80013896
1/1/1992,80624598
1/1/1993,81156363
1/1/1994,81438348
1/1/1995,81678051
1/1/1996,81914831
1/1/1997,82034771
1/1/1998,82047195
1/1/1999,82100243
1/1/2000,82211508
1/1/2001,82349925
1/1/2002,82488495
1/1/2003,82534176
1/1/2004,82516260
1/1/2005,82469422
1/1/2006,82376451
1/1/2007,82266372
1/1/2008,82110097
1/1/2009,81902307
1/1/2010,81776930
1/1/2011,80274983
1/1/2012,80425823
1/1/2013,80645605
1/1/2014,80982500
1/1/2015,81686611
1/1/2016,82348669
1/1/2017,82657002
1/1/2018,82905782
1/1/2019,83092962
1/1/2020,83240525
