TIME,GEO,MEAT,MEATITEM,UNIT,Value,Flag and Footnotes
1992M01,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand tonnes,159.17,
1992M01,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand heads (animals),543.15,
1992M01,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand tonnes,323.24,
1992M01,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand heads (animals),"3,576.14",
1992M01,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand tonnes,2.91,
1992M01,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand heads (animals),150.4,
1992M01,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand tonnes,:,
1992M01,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M01,Ireland,Bovine meat,Slaughterings,Thousand tonnes,35,
1992M01,Ireland,Bovine meat,Slaughterings,Thousand heads (animals),109.5,
1992M01,Ireland,Pigmeat,Slaughterings,Thousand tonnes,17.9,
1992M01,Ireland,Pigmeat,Slaughterings,Thousand heads (animals),262.5,
1992M01,Ireland,Sheepmeat,Slaughterings,Thousand tonnes,6.5,
1992M01,Ireland,Sheepmeat,Slaughterings,Thousand heads (animals),314.7,
1992M01,Ireland,Poultry meat,Slaughterings,Thousand tonnes,:,
1992M01,Ireland,Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M02,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand tonnes,140.11,
1992M02,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand heads (animals),475.38,
1992M02,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand tonnes,285.4,
1992M02,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand heads (animals),"3,177.23",
1992M02,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand tonnes,2.52,
1992M02,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand heads (animals),131.33,
1992M02,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand tonnes,:,
1992M02,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M02,Ireland,Bovine meat,Slaughterings,Thousand tonnes,31.9,
1992M02,Ireland,Bovine meat,Slaughterings,Thousand heads (animals),98.7,
1992M02,Ireland,Pigmeat,Slaughterings,Thousand tonnes,15,
1992M02,Ireland,Pigmeat,Slaughterings,Thousand heads (animals),217.5,
1992M02,Ireland,Sheepmeat,Slaughterings,Thousand tonnes,5.3,
1992M02,Ireland,Sheepmeat,Slaughterings,Thousand heads (animals),256.2,
1992M02,Ireland,Poultry meat,Slaughterings,Thousand tonnes,:,
1992M02,Ireland,Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M03,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand tonnes,164.54,
1992M03,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand heads (animals),553.59,
1992M03,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand tonnes,316.98,
1992M03,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand heads (animals),"3,511.02",
1992M03,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand tonnes,3.16,
1992M03,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand heads (animals),171.78,
1992M03,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand tonnes,:,
1992M03,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M03,Ireland,Bovine meat,Slaughterings,Thousand tonnes,46.7,
1992M03,Ireland,Bovine meat,Slaughterings,Thousand heads (animals),140.1,
1992M03,Ireland,Pigmeat,Slaughterings,Thousand tonnes,16.5,
1992M03,Ireland,Pigmeat,Slaughterings,Thousand heads (animals),239.9,
1992M03,Ireland,Sheepmeat,Slaughterings,Thousand tonnes,4.7,
1992M03,Ireland,Sheepmeat,Slaughterings,Thousand heads (animals),227.5,
1992M03,Ireland,Poultry meat,Slaughterings,Thousand tonnes,:,
1992M03,Ireland,Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M04,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand tonnes,155.61,
1992M04,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand heads (animals),527.42,
1992M04,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand tonnes,297.46,
1992M04,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand heads (animals),"3,283.18",
1992M04,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand tonnes,3.65,
1992M04,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand heads (animals),200.95,
1992M04,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand tonnes,:,
1992M04,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M04,Ireland,Bovine meat,Slaughterings,Thousand tonnes,40,
1992M04,Ireland,Bovine meat,Slaughterings,Thousand heads (animals),122.8,
1992M04,Ireland,Pigmeat,Slaughterings,Thousand tonnes,16,
1992M04,Ireland,Pigmeat,Slaughterings,Thousand heads (animals),232,
1992M04,Ireland,Sheepmeat,Slaughterings,Thousand tonnes,5.9,
1992M04,Ireland,Sheepmeat,Slaughterings,Thousand heads (animals),283.7,
1992M04,Ireland,Poultry meat,Slaughterings,Thousand tonnes,:,
1992M04,Ireland,Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M05,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand tonnes,144.82,
1992M05,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand heads (animals),486.17,
1992M05,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand tonnes,300.15,
1992M05,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand heads (animals),"3,309.60",
1992M05,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand tonnes,2.7,
1992M05,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand heads (animals),143.45,
1992M05,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand tonnes,:,
1992M05,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M05,Ireland,Bovine meat,Slaughterings,Thousand tonnes,33.8,
1992M05,Ireland,Bovine meat,Slaughterings,Thousand heads (animals),105.5,
1992M05,Ireland,Pigmeat,Slaughterings,Thousand tonnes,15.9,
1992M05,Ireland,Pigmeat,Slaughterings,Thousand heads (animals),232.9,
1992M05,Ireland,Sheepmeat,Slaughterings,Thousand tonnes,7.9,
1992M05,Ireland,Sheepmeat,Slaughterings,Thousand heads (animals),388,
1992M05,Ireland,Poultry meat,Slaughterings,Thousand tonnes,:,
1992M05,Ireland,Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M06,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand tonnes,151.63,
1992M06,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand heads (animals),507.28,
1992M06,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand tonnes,309.96,
1992M06,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand heads (animals),"3,443.64",
1992M06,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand tonnes,4.26,
1992M06,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand heads (animals),224.98,
1992M06,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand tonnes,:,
1992M06,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M06,Ireland,Bovine meat,Slaughterings,Thousand tonnes,33.8,
1992M06,Ireland,Bovine meat,Slaughterings,Thousand heads (animals),104.4,
1992M06,Ireland,Pigmeat,Slaughterings,Thousand tonnes,16.3,
1992M06,Ireland,Pigmeat,Slaughterings,Thousand heads (animals),240.9,
1992M06,Ireland,Sheepmeat,Slaughterings,Thousand tonnes,9.9,
1992M06,Ireland,Sheepmeat,Slaughterings,Thousand heads (animals),484.7,
1992M06,Ireland,Poultry meat,Slaughterings,Thousand tonnes,:,
1992M06,Ireland,Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M07,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand tonnes,147.44,
1992M07,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand heads (animals),494.79,
1992M07,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand tonnes,289.82,
1992M07,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand heads (animals),"3,253.66",
1992M07,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand tonnes,3.24,
1992M07,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand heads (animals),162.94,
1992M07,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand tonnes,:,
1992M07,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M07,Ireland,Bovine meat,Slaughterings,Thousand tonnes,38.7,
1992M07,Ireland,Bovine meat,Slaughterings,Thousand heads (animals),119.2,
1992M07,Ireland,Pigmeat,Slaughterings,Thousand tonnes,17.9,
1992M07,Ireland,Pigmeat,Slaughterings,Thousand heads (animals),263.8,
1992M07,Ireland,Sheepmeat,Slaughterings,Thousand tonnes,10.3,
1992M07,Ireland,Sheepmeat,Slaughterings,Thousand heads (animals),505.2,
1992M07,Ireland,Poultry meat,Slaughterings,Thousand tonnes,:,
1992M07,Ireland,Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M08,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand tonnes,145.46,
1992M08,Germany (until 1990 former territory of the FRG),Bovine meat,Slaughterings,Thousand heads (animals),484.47,
1992M08,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand tonnes,295.18,
1992M08,Germany (until 1990 former territory of the FRG),Pigmeat,Slaughterings,Thousand heads (animals),"3,296.28",
1992M08,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand tonnes,2.96,
1992M08,Germany (until 1990 former territory of the FRG),Sheepmeat,Slaughterings,Thousand heads (animals),147.11,
1992M08,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand tonnes,:,
1992M08,Germany (until 1990 former territory of the FRG),Poultry meat,Slaughterings,Thousand heads (animals),:,
1992M08,Ireland,Bovine meat,Slaughterings,Thousand tonnes,40.4,
1992M08,Ireland,Bovine meat,Slaughterings,Thousand heads (animals),121.9,
1992M08,Ireland,Pigmeat,Slaughterings,Thousand tonnes,16.3,
1992M08,Ireland,Pigmeat,Slaughterings,Thousand heads (animals),240.9,
1992M08,Ireland,Sheepmeat,Slaughterings,Thousand tonnes,9.6,
1992M08,Ireland,Sheepmeat,Slaughterings,Thousand heads (animals),469.6,
1992M08,Ireland,Poultry meat,Slaughterings,Thousand tonnes,:,
1992M08,Ireland,Poultry meat,Slaughterings,Thousand heads (animals),:,
