DATE,CLVMNACNSAB1GQIE
1/1/1995,19505.6
4/1/1995,20293.9
7/1/1995,20514.9
10/1/1995,20422.3
1/1/1996,21117.5
4/1/1996,22098.9
7/1/1996,21719.2
10/1/1996,21754
1/1/1997,22794.1
4/1/1997,24242.4
7/1/1997,24461.8
10/1/1997,24740
1/1/1998,25195.2
4/1/1998,26124.6
7/1/1998,27101.1
10/1/1998,26245.1
1/1/1999,27657.7
4/1/1999,28153.5
7/1/1999,29653.6
10/1/1999,30214.8
1/1/2000,30210.6
4/1/2000,31220
7/1/2000,32326.8
10/1/2000,32795.4
1/1/2001,32516.3
4/1/2001,33210.4
7/1/2001,33264
10/1/2001,34275
1/1/2002,34268.2
4/1/2002,34924.3
7/1/2002,35364.8
10/1/2002,36566.1
1/1/2003,35002.8
4/1/2003,35887.2
7/1/2003,35689.8
10/1/2003,38791.2
1/1/2004,37691.9
4/1/2004,39002.6
7/1/2004,38200.3
10/1/2004,40341.3
1/1/2005,39914
4/1/2005,41274.4
7/1/2005,40364
10/1/2005,42588
1/1/2006,42467.6
4/1/2006,42768.7
7/1/2006,43175.2
10/1/2006,43904
1/1/2007,45871.6
4/1/2007,45299.1
7/1/2007,44175.8
10/1/2007,46111.1
1/1/2008,44612.9
4/1/2008,43680.9
7/1/2008,43657.7
10/1/2008,41364.8
1/1/2009,41424.2
4/1/2009,41553.5
7/1/2009,41323.7
10/1/2009,40175
1/1/2010,41371.9
4/1/2010,41923.1
7/1/2010,42706.7
10/1/2010,41361.4
1/1/2011,42073.7
4/1/2011,42752.2
7/1/2011,42956.9
10/1/2011,41368.6
1/1/2012,41690.5
4/1/2012,42497.6
7/1/2012,42876.5
10/1/2012,41998.3
1/1/2013,41036.4
4/1/2013,42283.4
7/1/2013,44772.1
10/1/2013,43113.1
1/1/2014,44545.8
4/1/2014,45937.4
7/1/2014,48323.3
10/1/2014,47316.7
1/1/2015,57495.6
4/1/2015,55654.5
7/1/2015,60309.2
10/1/2015,59522.7
1/1/2016,56810.7
4/1/2016,56242.4
7/1/2016,59359
10/1/2016,65327.9
1/1/2017,60206.7
4/1/2017,60703.7
7/1/2017,67792.2
10/1/2017,70291.3
1/1/2018,68035.9
4/1/2018,68617.4
7/1/2018,73304.9
10/1/2018,72423.4
1/1/2019,71156.4
4/1/2019,71333.5
7/1/2019,77688.9
10/1/2019,76087.6
1/1/2020,75756.3
4/1/2020,72314.9
7/1/2020,86081
10/1/2020,79495.9
1/1/2021,85456.5
4/1/2021,87502.1
7/1/2021,95820
10/1/2021,87145.2
