Statistic,Month,Consumer Item,UNIT,VALUE
National Average Price,2011M12,Sirloin steak per kg,Euro,
National Average Price,2011M12,Striploin steak per kg,Euro,
National Average Price,2012M01,Sirloin steak per kg,Euro,15.093
National Average Price,2012M01,Striploin steak per kg,Euro,20.922
National Average Price,2012M02,Sirloin steak per kg,Euro,15.112
National Average Price,2012M02,Striploin steak per kg,Euro,20.077
National Average Price,2012M03,Sirloin steak per kg,Euro,14.936
National Average Price,2012M03,Striploin steak per kg,Euro,21.495
National Average Price,2012M04,Sirloin steak per kg,Euro,15.338
National Average Price,2012M04,Striploin steak per kg,Euro,22.242
National Average Price,2012M05,Sirloin steak per kg,Euro,15.257
National Average Price,2012M05,Striploin steak per kg,Euro,22.212
National Average Price,2012M06,Sirloin steak per kg,Euro,15.611
National Average Price,2012M06,Striploin steak per kg,Euro,21.763
National Average Price,2012M07,Sirloin steak per kg,Euro,15.764
National Average Price,2012M07,Striploin steak per kg,Euro,21.998
National Average Price,2012M08,Sirloin steak per kg,Euro,15.515
National Average Price,2012M08,Striploin steak per kg,Euro,22.062
National Average Price,2012M09,Sirloin steak per kg,Euro,16.105
National Average Price,2012M09,Striploin steak per kg,Euro,22.148
National Average Price,2012M10,Sirloin steak per kg,Euro,15.917
National Average Price,2012M10,Striploin steak per kg,Euro,22.228
National Average Price,2012M11,Sirloin steak per kg,Euro,15.477
National Average Price,2012M11,Striploin steak per kg,Euro,21.556
National Average Price,2012M12,Sirloin steak per kg,Euro,15.818
National Average Price,2012M12,Striploin steak per kg,Euro,21.915
National Average Price,2013M01,Sirloin steak per kg,Euro,16.197
National Average Price,2013M01,Striploin steak per kg,Euro,22.483
National Average Price,2013M02,Sirloin steak per kg,Euro,16.032
National Average Price,2013M02,Striploin steak per kg,Euro,20.446
National Average Price,2013M03,Sirloin steak per kg,Euro,15.47
National Average Price,2013M03,Striploin steak per kg,Euro,20.997
National Average Price,2013M04,Sirloin steak per kg,Euro,16.138
National Average Price,2013M04,Striploin steak per kg,Euro,21.918
National Average Price,2013M05,Sirloin steak per kg,Euro,15.89
National Average Price,2013M05,Striploin steak per kg,Euro,22.445
National Average Price,2013M06,Sirloin steak per kg,Euro,16.982
National Average Price,2013M06,Striploin steak per kg,Euro,22.628
National Average Price,2013M07,Sirloin steak per kg,Euro,16.748
National Average Price,2013M07,Striploin steak per kg,Euro,23.094
National Average Price,2013M08,Sirloin steak per kg,Euro,16.722
National Average Price,2013M08,Striploin steak per kg,Euro,22.925
National Average Price,2013M09,Sirloin steak per kg,Euro,16.69
National Average Price,2013M09,Striploin steak per kg,Euro,23.217
National Average Price,2013M10,Sirloin steak per kg,Euro,16.634
National Average Price,2013M10,Striploin steak per kg,Euro,23.267
National Average Price,2013M11,Sirloin steak per kg,Euro,16.447
National Average Price,2013M11,Striploin steak per kg,Euro,23.014
National Average Price,2013M12,Sirloin steak per kg,Euro,16.221
