Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params,feature importance,Outliers
Train,Pedestrian Total,NA,KNN,0.5,1232993.386,705.4656635,0.973700093,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 50}",Not Available,Not Removed
Test,Pedestrian Total,NA,KNN,0.5,677043.3686,596.5327633,0.947065482,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 50}",Not Available,Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.5,53831165.81,6017.675616,-2.057162632,KNN,NA,NA,Not Removed
Train,Pedestrian Total,NA,Pandas,0.5,1234456.941,706.1118787,0.973668875,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 20}",Not Available,Not Removed
Test,Pedestrian Total,NA,Pandas,0.5,2500271.656,1229.243958,0.804516697,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 20}",Not Available,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.5,53831129.78,6017.674189,-2.057160586,KNN,NA,NA,Not Removed
Train,Pedestrian Total,NA,KNN,0.3,782741.882,552.7134039,0.980712076,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 50}",Not Available,Not Removed
Test,Pedestrian Total,NA,KNN,0.3,569545.4632,510.2905775,0.952963796,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 50}",Not Available,Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.3,54893938.45,6106.233676,-2.117519282,KNN,NA,NA,Not Removed
Train,Pedestrian Total,NA,Pandas,0.3,975361.0929,634.4626338,0.975965652,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 40}",Not Available,Not Removed
Test,Pedestrian Total,NA,Pandas,0.3,1435077.554,847.3380645,0.881483385,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 40}",Not Available,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.3,53913022.56,6025.762378,-2.061811415,KNN,NA,NA,Not Removed
Train,Pedestrian Total,NA,KNN,0.1,748995.5332,532.5453797,0.979041546,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 20}",Not Available,Not Removed
Test,Pedestrian Total,NA,KNN,0.1,488695.4636,500.8358974,0.959914757,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 20}",Not Available,Not Removed
Validation Data,Pedestrian Total,NA,KNN,0.1,54824236.57,6100.669733,-2.113560794,KNN,NA,NA,Not Removed
Train,Pedestrian Total,NA,Pandas,0.1,919550.0461,623.6522715,0.974269076,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 30}",Not Available,Not Removed
Test,Pedestrian Total,NA,Pandas,0.1,1359985.42,819.2376882,0.888447202,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 30}",Not Available,Not Removed
Validation Data,Pedestrian Total,NA,Pandas,0.1,53913022.56,6025.762378,-2.061811415,KNN,NA,NA,Not Removed
Train,Pedestrian Total,Standard,KNN,0.5,1968043.206,886.2129275,0.958021386,KNN,"{'p': 2, 'n_neighbors': 10, 'leaf_size': 20}",Not Available,Not Removed
Test,Pedestrian Total,Standard,KNN,0.5,7534690.015,2076.758128,0.410901577,KNN,"{'p': 2, 'n_neighbors': 10, 'leaf_size': 20}",Not Available,Not Removed
Validation Data,Pedestrian Total,Standard,KNN,0.5,7313267.794,2015.568961,0.584667196,KNN,NA,NA,Not Removed
