Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params,Outliers
Train,Pedestrian Total,NA,Pandas,0.1,0,0,100%,RandomForest,"{'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Not Removed
Train,Pedestrian Total,Standard,KNN,0.5,0,0,100%,RandomForest,"{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Not Removed
Train,Pedestrian Total,Standard,Pandas,0.5,0,0,100%,RandomForest,"{'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Not Removed
Train,Pedestrian Total,Standard,KNN,0.3,8.59E-07,1.94E-05,100%,RandomForest,"{'n_estimators': 1000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Removed
Train,Pedestrian Total,Standard,KNN,0.3,2.58E-06,3.36E-05,100%,RandomForest,"{'n_estimators': 1000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Not Removed
Train,Pedestrian Total,NA,KNN,0.3,1.12E-05,0.00010627,100%,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Not Removed
Train,Pedestrian Total,NA,KNN,0.3,7.20E-06,3.60E-05,100%,RandomForest,"{'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Removed
Train,Pedestrian Total,NA,Pandas,0.1,1.51E-05,0.000195154,100%,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Removed
Train,Pedestrian Total,Standard,Pandas,0.3,5.76E-05,0.000320068,100%,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Removed
Train,Pedestrian Total,Standard,KNN,0.5,0.000434209,0.000557096,100%,RandomForest,"{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Removed
Train,Pedestrian Total,NA,Pandas,0.5,0.001085677,0.000867658,100%,RandomForest,"{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",Removed
Train,Pedestrian Total,NA,KNN,0.5,506.3957851,13.09622747,100%,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",Removed
Train,Pedestrian Total,Standard,Pandas,0.5,725.9921813,15.78986675,100%,RandomForest,"{'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",Removed
Train,Pedestrian Total,Standard,KNN,0.1,1098.302174,21.18364954,100%,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",Removed
Train,Pedestrian Total,NA,KNN,0.1,1123.592195,21.44978247,100%,RandomForest,"{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",Removed
Train,Pedestrian Total,NA,Pandas,0.3,2677.584081,33.86881144,100%,RandomForest,"{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",Not Removed
Train,Pedestrian Total,NA,KNN,0.1,2360.976492,32.2810875,100%,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",Not Removed
Train,Pedestrian Total,Standard,KNN,0.1,2467.683921,32.9179575,100%,RandomForest,"{'n_estimators': 1000, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",Not Removed
Train,Pedestrian Total,NA,Pandas,0.3,1511.589442,24.09313493,100%,RandomForest,"{'n_estimators': 500, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",Removed
Train,Pedestrian Total,Standard,Pandas,0.1,2695.736231,32.43114491,100%,RandomForest,"{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",Removed
Train,Pedestrian Total,NA,Pandas,0.5,169764.6961,258.7707493,100%,RandomForest,"{'n_estimators': 2000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': True}",Not Removed
Train,Pedestrian Total,Standard,Pandas,0.3,153145.572,252.2147357,100%,RandomForest,"{'n_estimators': 1000, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': True}",Not Removed
Train,Pedestrian Total,NA,KNN,0.5,185823.822,269.8800958,100%,RandomForest,"{'n_estimators': 100, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': True}",Not Removed
Train,Pedestrian Total,Standard,Pandas,0.1,178766.2965,279.4427064,99%,RandomForest,"{'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",Not Removed
Train,Pedestrian Total,NA,KNN,0.3,782741.882,552.7134039,98%,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 50}",Not Removed
Train,Pedestrian Total,NA,KNN,0.1,748995.5332,532.5453797,98%,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 20}",Not Removed
Train,Pedestrian Total,NA,Pandas,0.3,975361.0929,634.4626338,98%,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 40}",Not Removed
Train,Pedestrian Total,NA,Pandas,0.1,919550.0461,623.6522715,97%,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 30}",Not Removed
Train,Pedestrian Total,NA,KNN,0.5,1232993.386,705.4656635,97%,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 50}",Not Removed
Train,Pedestrian Total,NA,Pandas,0.5,1234456.941,706.1118787,97%,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 20}",Not Removed
Train,Pedestrian Total,Standard,KNN,0.3,1213998.692,716.7182899,97%,KNN,"{'p': 2, 'n_neighbors': 5, 'leaf_size': 20}",Not Removed
Train,Pedestrian Total,Standard,KNN,0.1,1098859.972,689.8704921,97%,KNN,"{'p': 2, 'n_neighbors': 5, 'leaf_size': 20}",Not Removed
