Data Set,Label,Scaled,Imputer,Split,MSE,MAE,R2,Model,Best Params,feature importance
Train,Pedestrian Total,NA,KNN,0.5,6994.681419079259,43.039362256530524,0.9998508025496337,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 20}",Not Available
Test,Pedestrian Total,NA,KNN,0.5,3228.8738960700557,39.65756302521009,0.9997475510583202,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 20}",Not Available
Validation Data,Pedestrian Total,NA,KNN,0.5,53998856.20241123,6032.501320939334,-2.0666860524264976,KNN,NA,NA
Train,Pedestrian Total,NA,Pandas,0.5,6996.281091506373,43.05007817080322,0.999850768428416,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 40}",Not Available
Test,Pedestrian Total,NA,Pandas,0.5,3225.4243069320746,39.64287342844115,0.9997478207638445,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 40}",Not Available
Validation Data,Pedestrian Total,NA,Pandas,0.5,53998856.20241123,6032.501320939334,-2.0666860524264976,KNN,NA,NA
Train,Pedestrian Total,NA,KNN,0.3,3595.0165309446256,31.985993485342018,0.9999114134459213,KNN,"{'p': 2, 'n_neighbors': 2, 'leaf_size': 30}",Not Available
Test,Pedestrian Total,NA,KNN,0.3,3102.4807655775076,39.753894376899694,0.9997437800368173,KNN,"{'p': 2, 'n_neighbors': 2, 'leaf_size': 30}",Not Available
Validation Data,Pedestrian Total,NA,KNN,0.3,54599389.43390411,6082.058561643836,-2.1007913467707806,KNN,NA,NA
Train,Pedestrian Total,NA,Pandas,0.3,3599.1245114006515,31.9935667752443,0.9999113122191732,KNN,"{'p': 2, 'n_neighbors': 2, 'leaf_size': 20}",Not Available
Test,Pedestrian Total,NA,Pandas,0.3,3102.830689589666,39.74629559270517,0.9997437511381635,KNN,"{'p': 2, 'n_neighbors': 2, 'leaf_size': 20}",Not Available
Validation Data,Pedestrian Total,NA,Pandas,0.3,54599389.43390411,6082.058561643836,-2.1007913467707806,KNN,NA,NA
Train,Pedestrian Total,NA,KNN,0.1,2862.7603236430427,28.304420799290646,0.9999198940083956,KNN,"{'p': 2, 'n_neighbors': 2, 'leaf_size': 50}",Not Available
Test,Pedestrian Total,NA,KNN,0.1,2211.415811965812,33.532478632478636,0.9998186086285689,KNN,"{'p': 2, 'n_neighbors': 2, 'leaf_size': 50}",Not Available
Validation Data,Pedestrian Total,NA,KNN,0.1,55191699.30479452,6130.547488584475,-2.1344296226069464,KNN,NA,NA
Train,Pedestrian Total,NA,Pandas,0.1,2203.8890525049087,25.95386028247514,0.9999383305977525,KNN,"{'p': 1, 'n_neighbors': 2, 'leaf_size': 30}",Not Available
Test,Pedestrian Total,NA,Pandas,0.1,1890.2535612535612,31.194871794871794,0.999844951960652,KNN,"{'p': 1, 'n_neighbors': 2, 'leaf_size': 30}",Not Available
Validation Data,Pedestrian Total,NA,Pandas,0.1,55191699.30479452,6130.547488584475,-2.1344296226069464,KNN,NA,NA
Train,Pedestrian Total,Standard,KNN,0.5,619996.4384644323,555.1421682626539,0.9867753965744932,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 20}",Not Available
Test,Pedestrian Total,Standard,KNN,0.5,3403315.7034940724,1347.2938554491566,0.7339123560709675,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 20}",Not Available
Validation Data,Pedestrian Total,Standard,KNN,0.5,2920623.8897020547,1281.5809703196348,0.8341328469373585,KNN,NA,NA
Train,Pedestrian Total,Standard,Pandas,0.5,621091.5859302325,555.5576835385317,0.9867520369388095,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 30}",Not Available
Test,Pedestrian Total,Standard,Pandas,0.5,3405656.892759918,1347.483527131783,0.7337293105970784,KNN,"{'p': 1, 'n_neighbors': 10, 'leaf_size': 30}",Not Available
Validation Data,Pedestrian Total,Standard,Pandas,0.5,2918777.918127854,1281.0762328767123,0.8342376827742243,KNN,NA,NA
Train,Pedestrian Total,Standard,KNN,0.3,486773.7719587183,490.6963122382503,0.9880051702954541,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 30}",Not Available
Test,Pedestrian Total,Standard,KNN,0.3,2101645.6733143106,1111.6439426834563,0.8264345155611443,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 30}",Not Available
Validation Data,Pedestrian Total,Standard,KNN,0.3,2341405.970109962,1134.0535877364646,0.8670276087943558,KNN,NA,NA
Train,Pedestrian Total,Standard,Pandas,0.3,437748.8692149837,460.5464657980456,0.9892132168122719,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 40}",Not Available
Test,Pedestrian Total,Standard,Pandas,0.3,2171757.260015198,1115.3109422492403,0.8206443142607862,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 40}",Not Available
Validation Data,Pedestrian Total,Standard,Pandas,0.3,2414254.5321872146,1150.376689497717,0.8628904161763451,KNN,NA,NA
Train,Pedestrian Total,Standard,KNN,0.1,440306.9709924631,464.5221989993033,0.9876792946198176,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 30}",Not Available
Test,Pedestrian Total,Standard,KNN,0.1,1149550.4231408802,815.7838013838013,0.9057081320236277,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 30}",Not Available
Validation Data,Pedestrian Total,Standard,KNN,0.1,1815931.8202520735,1008.4745107632094,0.8968701713893743,KNN,NA,NA
Train,Pedestrian Total,Standard,Pandas,0.1,440865.712901387,464.78428019507254,0.9876636598583968,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 40}",Not Available
Test,Pedestrian Total,Standard,Pandas,0.1,1149433.312087912,815.6717134717134,0.9057177380571889,KNN,"{'p': 1, 'n_neighbors': 7, 'leaf_size': 40}",Not Available
Validation Data,Pedestrian Total,Standard,Pandas,0.1,1815030.6288440034,1007.8380463144161,0.8969213515682902,KNN,NA,NA
Train,Cycle Total,NA,KNN,0.5,4417.866082991335,35.1922024623803,0.8828979991744305,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 50}",Not Available
Test,Cycle Total,NA,KNN,0.5,5750.27992248062,49.03714090287278,0.6221964022418631,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 50}",Not Available
Validation Data,Cycle Total,NA,KNN,0.5,17372.502488584476,94.95308219178081,-0.9244084866947162,KNN,NA,NA
Train,Cycle Total,NA,Pandas,0.5,4423.244765161879,35.19792521659827,0.8827554293381921,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 40}",Not Available
Test,Cycle Total,NA,Pandas,0.5,5704.3275649794805,48.75004559963521,0.625215553695956,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 40}",Not Available
Validation Data,Cycle Total,NA,Pandas,0.5,17372.502488584476,94.95308219178081,-0.9244084866947162,KNN,NA,NA
Train,Cycle Total,NA,KNN,0.3,3425.7951335504886,30.433648208469055,0.8942586478443993,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 50}",Not Available
Test,Cycle Total,NA,KNN,0.3,2831.1005243161094,33.071846504559275,0.7928670450628835,KNN,"{'p': 1, 'n_neighbors': 5, 'leaf_size': 50}",Not Available
