date,ind,rain,ind,maxt,ind,mint,gmin,soil
1-Jan-41,0,2.4, , , , , , 
2-Jan-41,0,0.9, , , , , , 
3-Jan-41,0,0, , , , , , 
4-Jan-41,0,0, , , , , , 
5-Jan-41,0,0, , , , , , 
6-Jan-41,0,0, , , , , , 
7-Jan-41,0,0, , , , , , 
8-Jan-41,0,0, , , , , , 
9-Jan-41,0,0, , , , , , 
10-Jan-41,0,0, , , , , , 
11-Jan-41,0,0, , , , , , 
12-Jan-41,0,0, , , , , , 
13-Jan-41,0,0, , , , , , 
14-Jan-41,0,5.2, , , , , , 
15-Jan-41,0,11, , , , , , 
16-Jan-41,0,0, , , , , , 
17-Jan-41,0,5.5, , , , , , 
18-Jan-41,0,11.1, , , , , , 
19-Jan-41,0,10.8, , , , , , 
20-Jan-41,0,15.5, , , , , , 
21-Jan-41,0,11, , , , , , 
22-Jan-41,0,0, , , , , , 
23-Jan-41,0,1.8, , , , , , 
24-Jan-41,0,8.5, , , , , , 
25-Jan-41,0,5.1, , , , , , 
26-Jan-41,0,1.8, , , , , , 
27-Jan-41,0,9.2, , , , , , 
28-Jan-41,0,5.8, , , , , , 
29-Jan-41,0,3, , , , , , 
30-Jan-41,0,8.5, , , , , , 
31-Jan-41,0,0, , , , , , 
1-Feb-41,0,0, , , , , , 
2-Feb-41,0,0.3, , , , , , 
3-Feb-41,0,0, , , , , , 
4-Feb-41,0,1.6, , , , , , 
5-Feb-41,0,7.3, , , , , , 
6-Feb-41,0,4.9, , , , , , 
7-Feb-41,0,2.4, , , , , , 
8-Feb-41,0,1.8, , , , , , 
9-Feb-41,0,0.5, , , , , , 
10-Feb-41,0,0, , , , , , 
11-Feb-41,0,1, , , , , , 
12-Feb-41,0,3.5, , , , , , 
13-Feb-41,0,5.8, , , , , , 
14-Feb-41,0,2.2, , , , , , 
15-Feb-41,0,0, , , , , , 
16-Feb-41,0,18.4, , , , , , 
17-Feb-41,0,6.9, , , , , , 
18-Feb-41,0,0.1, , , , , , 
19-Feb-41,0,0, , , , , , 
20-Feb-41,0,0, , , , , , 
21-Feb-41,0,0, , , , , , 
22-Feb-41,0,4.2, , , , , , 
23-Feb-41,0,0, , , , , , 
24-Feb-41,0,1, , , , , , 
25-Feb-41,0,0, , , , , , 
26-Feb-41,0,1.9, , , , , , 
27-Feb-41,0,2, , , , , , 
28-Feb-41,0,3.4, , , , , , 
1-Mar-41,0,9.8, , , , , , 
2-Mar-41,0,0.8, , , , , , 
3-Mar-41,0,3.3, , , , , , 
4-Mar-41,0,0.3, , , , , , 
5-Mar-41,0,1.4, , , , , , 
6-Mar-41,0,0.9, , , , , , 
7-Mar-41,0,1.3, , , , , , 
8-Mar-41,0,18.2, , , , , , 
9-Mar-41,0,2, , , , , , 
10-Mar-41,0,1.1, , , , , , 
11-Mar-41,0,0, , , , , , 
12-Mar-41,0,0, , , , , , 
13-Mar-41,0,0, , , , , , 
14-Mar-41,0,1.1, , , , , , 
15-Mar-41,0,0, , , , , , 
16-Mar-41,0,0, , , , , , 
17-Mar-41,0,1.8, , , , , , 
18-Mar-41,0,2.4, , , , , , 
19-Mar-41,0,0, , , , , , 
20-Mar-41,0,0, , , , , , 
21-Mar-41,0,2.8, , , , , , 
22-Mar-41,0,2.8, , , , , , 
23-Mar-41,0,1, , , , , , 
24-Mar-41,0,0.3, , , , , , 
25-Mar-41,0,7, , , , , , 
26-Mar-41,0,3.1, , , , , , 
27-Mar-41,0,5.4, , , , , , 
28-Mar-41,0,0.3, , , , , , 
29-Mar-41,0,0, , , , , , 
30-Mar-41,0,0.5, , , , , , 
31-Mar-41,0,39.7, , , , , , 
1-Apr-41,0,17.1, , , , , , 
2-Apr-41,0,11.5, , , , , , 
3-Apr-41,0,0.4, , , , , , 
4-Apr-41,0,0.9, , , , , , 
5-Apr-41,0,0, , , , , , 
6-Apr-41,0,0.1, , , , , , 
7-Apr-41,0,0, , , , , , 
8-Apr-41,0,5, , , , , , 
9-Apr-41,0,3.9, , , , , , 
10-Apr-41,0,0, , , , , , 
11-Apr-41,0,0, , , , , , 
12-Apr-41,0,0, , , , , , 
13-Apr-41,0,3.6, , , , , , 
14-Apr-41,0,4.6, , , , , , 
15-Apr-41,0,0, , , , , , 
16-Apr-41,0,3.1, , , , , , 
17-Apr-41,0,15.6, , , , , , 
18-Apr-41,0,9.5, , , , , , 
19-Apr-41,0,2.5, , , , , , 
20-Apr-41,0,0.1, , , , , , 
21-Apr-41,0,0, , , , , , 
22-Apr-41,0,0, , , , , , 
23-Apr-41,0,0, , , , , , 
24-Apr-41,0,0, , , , , , 
25-Apr-41,0,0.1, , , , , , 
26-Apr-41,0,0, , , , , , 
27-Apr-41,0,0.1, , , , , , 
28-Apr-41,0,0, , , , , , 
29-Apr-41,0,0, , , , , , 
30-Apr-41,0,0, , , , , , 
1-May-41,0,0, , , , , , 
2-May-41,0,0, , , , , , 
3-May-41,0,0, , , , , , 
4-May-41,0,0, , , , , , 
5-May-41,0,0, , , , , , 
6-May-41,0,0, , , , , , 
7-May-41,0,0, , , , , , 
8-May-41,0,0, , , , , , 
9-May-41,0,0, , , , , , 
10-May-41,0,0, , , , , , 
11-May-41,0,0.3, , , , , , 
12-May-41,0,0, , , , , , 
13-May-41,0,0, , , , , , 
14-May-41,0,0, , , , , , 
15-May-41,0,0, , , , , , 
16-May-41,0,0, , , , , , 
17-May-41,0,0, , , , , , 
18-May-41,0,5.4, , , , , , 
19-May-41,0,0, , , , , , 
20-May-41,0,0.4, , , , , , 
21-May-41,0,6.1, , , , , , 
22-May-41,0,23.9, , , , , , 
23-May-41,0,4.2, , , , , , 
24-May-41,0,5.1, , , , , , 
25-May-41,0,2.8, , , , , , 
26-May-41,0,5.4, , , , , , 
27-May-41,0,1.4, , , , , , 
28-May-41,0,0.5, , , , , , 
29-May-41,0,1.3, , , , , , 
30-May-41,0,0, , , , , , 
31-May-41,0,0, , , , , , 
1-Jun-41,0,0, , , , , , 
2-Jun-41,0,0, , , , , , 
3-Jun-41,0,0.5, , , , , , 
4-Jun-41,0,2.9, , , , , , 
5-Jun-41,0,3.2, , , , , , 
6-Jun-41,0,1, , , , , , 
7-Jun-41,0,0, , , , , , 
8-Jun-41,0,4.2, , , , , , 
9-Jun-41,0,0, , , , , , 
10-Jun-41,0,0, , , , , , 
11-Jun-41,0,0, , , , , , 
12-Jun-41,0,0, , , , , , 
13-Jun-41,0,0, , , , , , 
14-Jun-41,0,0.1, , , , , , 
15-Jun-41,0,0, , , , , , 
16-Jun-41,0,0, , , , , , 
17-Jun-41,0,6.2, , , , , , 
18-Jun-41,0,0, , , , , , 
19-Jun-41,0,0, , , , , , 
20-Jun-41,0,0, , , , , , 
21-Jun-41,0,0, , , , , , 
22-Jun-41,0,0, , , , , , 
23-Jun-41,0,0, , , , , , 
24-Jun-41,0,0.1, , , , , , 
25-Jun-41,0,0.7, , , , , , 
26-Jun-41,0,0, , , , , , 
27-Jun-41,0,0.1, , , , , , 
28-Jun-41,0,0, , , , , , 
29-Jun-41,0,0, , , , , , 
30-Jun-41,0,0.5, , , , , , 
1-Jul-41,0,0, , , , , , 
2-Jul-41,0,0.6, , , , , , 
3-Jul-41,0,0, , , , , , 
4-Jul-41,0,0, , , , , , 
5-Jul-41,0,0, , , , , , 
6-Jul-41,0,6.3, , , , , , 
7-Jul-41,0,4.2, , , , , , 
8-Jul-41,0,0, , , , , , 
9-Jul-41,0,0, , , , , , 
10-Jul-41,0,5.3, , , , , , 
11-Jul-41,0,5.3, , , , , , 
12-Jul-41,0,0, , , , , , 
13-Jul-41,0,0.2, , , , , , 
14-Jul-41,0,0, , , , , , 
15-Jul-41,0,1.8, , , , , , 
16-Jul-41,0,0, , , , , , 
17-Jul-41,0,4.7, , , , , , 
18-Jul-41,0,1.8, , , , , , 
19-Jul-41,0,0.1, , , , , , 
20-Jul-41,0,0, , , , , , 
21-Jul-41,0,0, , , , , , 
22-Jul-41,0,0, , , , , , 
23-Jul-41,0,0, , , , , , 
24-Jul-41,0,7.5, , , , , , 
25-Jul-41,0,1.7, , , , , , 
26-Jul-41,0,0, , , , , , 
27-Jul-41,0,0.3, , , , , , 
28-Jul-41,0,1, , , , , , 
29-Jul-41,0,0.9, , , , , , 
30-Jul-41,0,0.6, , , , , , 
31-Jul-41,0,0, , , , , , 
1-Aug-41,0,0, , , , , , 
2-Aug-41,0,0, , , , , , 
3-Aug-41,0,1.5, , , , , , 
4-Aug-41,0,0.9, , , , , , 
5-Aug-41,0,0.1, , , , , , 
6-Aug-41,0,0, , , , , , 
7-Aug-41,0,1.8, , , , , , 
8-Aug-41,0,1.9, , , , , , 
9-Aug-41,0,3.6, , , , , , 
10-Aug-41,0,0, , , , , , 
11-Aug-41,0,2, , , , , , 
12-Aug-41,0,7, , , , , , 
13-Aug-41,0,1.7, , , , , , 
14-Aug-41,0,0, , , , , , 
15-Aug-41,0,4.3, , , , , , 
16-Aug-41,0,0.3, , , , , , 
17-Aug-41,0,2.7, , , , , , 
18-Aug-41,0,4, , , , , , 
19-Aug-41,0,8, , , , , , 
20-Aug-41,0,1.5, , , , , , 
21-Aug-41,0,3.1, , , , , , 
22-Aug-41,0,1.4, , , , , , 
23-Aug-41,0,0, , , , , , 
24-Aug-41,0,3.4, , , , , , 
25-Aug-41,0,2, , , , , , 
26-Aug-41,0,1.4, , , , , , 
27-Aug-41,0,6.2, , , , , , 
28-Aug-41,0,2.1, , , , , , 
29-Aug-41,0,0.9, , , , , , 
30-Aug-41,0,0, , , , , , 
31-Aug-41,0,1.8, , , , , , 
1-Sep-41,0,0.3, , , , , , 
2-Sep-41,0,0, , , , , , 
3-Sep-41,0,0, , , , , , 
4-Sep-41,0,0, , , , , , 
5-Sep-41,0,3.2, , , , , , 
6-Sep-41,0,0, , , , , , 
7-Sep-41,0,0, , , , , , 
8-Sep-41,0,0.2, , , , , , 
9-Sep-41,0,0, , , , , , 
10-Sep-41,0,0.9, , , , , , 
11-Sep-41,0,0, , , , , , 
12-Sep-41,0,0, , , , , , 
13-Sep-41,0,0, , , , , , 
14-Sep-41,0,0, , , , , , 
15-Sep-41,0,0, , , , , , 
16-Sep-41,0,0.4, , , , , , 
17-Sep-41,0,0, , , , , , 
18-Sep-41,0,0, , , , , , 
19-Sep-41,0,0, , , , , , 
20-Sep-41,0,0, , , , , , 
21-Sep-41,0,0, , , , , , 
22-Sep-41,0,0, , , , , , 
23-Sep-41,0,0, , , , , , 
24-Sep-41,0,2.1, , , , , , 
25-Sep-41,0,0.1, , , , , , 
26-Sep-41,0,3.2, , , , , , 
27-Sep-41,0,2.1, , , , , , 
28-Sep-41,0,2, , , , , , 
29-Sep-41,0,3.1, , , , , , 
